,Lips Color,Mouth,Earrings,Necklace,Clothes,Hairstyle,Facial Features,Eyes,Skin Tone,Background,Face Accessories,Rarity score,Token Id
26,Party Pink,Stern,Queen's Emeralds,Golden Bib,70s Shirt,Cotton Candy,Red Eyeliner,Brown To The Left,Deep Neutral,Yellow Pink,None,54.905431708454635,26
27,Flashy Blue,Slightly Open,Lucky Charms,Gold Ruler,Cherry Tee,Rose Hair,Nose Piercing,Black Eye Roll,Medium Gold,Purple Pink,None,48.08369835464403,27
28,Passion Red,Slight Smile,Classic Hoops,Golden Bib,Psychedelic Dress,Long Dark,Pearl Eyes,Green Straight,Night Goddess,Blue Green,None,46.0300847459046,28
29,Passion Red,Stern,None,None,Futuristic Dress,Platinum Pixie,None,Brown Eye Roll,Light Medium Warm Gold,Yellow Pink,Classic Aviator WoW,33.719973083221774,29
30,Flashy Blue,Cigarette,WoW Coins,None,Psychedelic Dress,Braided Ponytail,Rose Tattoo,Black Straight,Deep Bronze,Orange Yellow,None,40.19888277444931,30
31,Purple,Slightly Open,Classic Hoops,Sun Keeper,Red Leather Jacket,Bun,Sunset,Blue To The Right,Light Warm Olive,Orange Yellow,Psychedelic Sunglasses,73.29587847624694,31
32,Purple,Slight Smile,Triple Rings,None,Polka Dot Top,Finger Waves,Antoinette,Black Straight,Medium Olive,Yellow Pink,Classic Aviator WoW,53.95405321913209,32
33,Passion Red,Countryside,Flower Power,Amazonite Energy,Adventurer,Curly Ponytail,Crystal Queen,Black Eye Roll,Light Medium Warm Gold,Green Purple,None,42.6885020864369,33
34,Passion Red,Slight Smile,Pearls,Back To The 90s,Little Red Dress,Platinum Pixie,None,Black To The Right,Deep Bronze,Orange Yellow,None,24.41539973178311,34
35,Purple,Countryside,Spikes,Golden Flakes,70s Shirt,Finger Waves,Feline Eyes,Brown To The Left,Light Warm Olive,Yellow Pink,Round Glasses,75.17784975290098,35
36,Burgundy,Surprised,WoW Coins,None,Tunic,Silver,Antoinette,Blue Straight,Burning Red,Purple Pink,Black Round Retro,65.3387610549869,36
37,Flashy Blue,Stern,None,None,Cabaret Corset,Feeling Turquoise,None,Blue To The Right,Cool Blue,Yellow Pink,None,19.28430328604673,37
38,Gold,Surprised,Ocean Hoops,None,Queen's Dress,Rose Hair,Red Eyeliner,Black Straight,Light Warm Olive,Soft Purple,Black Round Retro,62.974602892731056,38
39,Party Pink,Stern,Triple Rings,Satin Choker,NFT Goddesses Top,Braided Ponytail,Freckles,Black Eye Roll,Cyber Green,Soft Purple,Oversized Statement Sunglasses,77.76636771468795,39
40,Flashy Blue,Stern,Ocean Hoops,None,Futuristic Dress,Platinum Pixie,Claw Scar,Black To The Right,Deep Neutral,Yellow Pink,Round Glasses,59.375337124908675,40
41,Gold,Huh,Ocean Hoops,None,Emerald Elven Cape,Bob,Eyebrow Piercing,Green To The Left,Medium Gold,Green Orange,None,44.02905783159863,41
42,Burgundy,Whistle,Empresses Of Darkness,None,Striped Tee,Lioness,Marilyn,Brown Eye Roll,Light Warm Olive,Orange Yellow,None,33.62807103470904,42
43,Purple,Surprised,Pizza Lovers,None,Tuxedo,Finger Waves,Feline Eyes,Black To The Right,Deep Bronze,Orange Yellow,None,29.137430767304124,43
44,Purple,Slight Smile,Spikes,None,Tunic,Boy Cut,Freckles,Green To The Left,Medium Gold,Green Orange,None,27.770209490247076,44
45,Passion Red,Stern,None,None,Steampunk Octopus Top,Silver,Flashy Blue,Brown Straight,Medium Gold,Yellow Pink,None,15.024773067904635,45
46,Burgundy,Surprised,60s Fantasy,Amazonite Energy,Little Red Dress,Feeling Turquoise,Antoinette,Black To The Right,Deep Bronze,Orange Yellow,Black Mask,72.56948720076603,46
47,Party Pink,Countryside,Pearls,None,Red Leather Jacket,Rose Hair,None,Brown Eye Roll,Burning Red,Green Orange,None,34.90266243378892,47
48,Passion Red,Slight Smile,Spikes,Amazonite Energy,Painter's Overall,Retro,None,Brown To The Right,Medium Gold,Yellow Pink,None,30.147763821494937,48
49,Passion Red,Slight Smile,Silver Drops,None,Queen's Dress,Platinum Pixie,Pearl Eyes,Blue Eye Roll,Light Medium Warm Gold,Green Orange,None,21.22587768702784,49
50,Flashy Blue,Bubble Gum,Spikes,Tutti Frutti Beads,White Tee,Bun,None,Black To The Right,Light Warm Yellow,Orange Yellow,None,45.12515821042534,50
51,Burgundy,Whistle,Classic Hoops,Malka,Little Red Dress,Braided Ponytail,Treble Bass Clef Tattoo,Black Eye Roll,Medium Olive,Blue Green,Black Mask,77.56167418160203,51
52,Passion Red,Surprised,Classic Hoops,None,Steampunk Octopus Top,Fuchsia,Heart Tattoo,Black To The Right,Burning Red,Dark Emerald,Classic Aviator WoW,50.81069121510079,52
53,Burgundy,Slight Smile,Queen's Emeralds,None,Warrior Armor,Bob,Neck Tattoo,Blue Straight,Light Warm Olive,Orange Yellow,70s Feels,61.11234147733812,53
54,Burgundy,Stern,Ocean Hoops,Back To The 90s,70s Shirt,Bob,Red Eyeliner,Green To The Left,Deep Neutral,Blue Green,Classic Aviator WoW,70.16586904126045,54
55,Purple,Countryside,WoW Coins,Rainbow,Red Leather Jacket,Finger Waves,Rainbow,Brown To The Left,Light Medium Warm Gold,Dark Purple,Red Round Sunglasses,79.78046650982657,55
56,Burgundy,Slight Smile,Silver Drops,Sun Keeper,Fantasy Shirt,Bun,Feline Eyes,Black To The Left,Light Medium Warm Gold,Orange Yellow,Cateye Sunglasses,68.05263778489646,56
57,Passion Red,Surprised,Triple Rings,Tutti Frutti Beads,Adventurer,Badass Bob,Antoinette,Blue To The Right,Light Warm Yellow,Dark Purple,Classic Aviator WoW,65.66878694209652,57
58,Passion Red,Huh,Yam's Fave,Tutti Frutti Beads,Cabaret Corset,Natural Red,Antoinette,Blue Eye Roll,Light Warm Yellow,Yellow Pink,70s Feels,71.86958047717764,58
59,Passion Red,Surprised,WoW Coins,None,Tuxedo,Finger Waves,Rainbow,Green Eye Roll,Light Warm Yellow,Green Orange,None,23.953339462101088,59
60,Purple,Slight Smile,None,Amazonite Energy,Adventurer,Cotton Candy,Marilyn,Brown To The Left,Deep Neutral,Dark Purple,None,33.575142892217585,60
61,Passion Red,Countryside,Spikes,None,Futuristic Dress,Bun,Feline Eyes,Green Straight,Golden,Blue Green,Oversized Statement Sunglasses,59.507681929440714,61
62,Burgundy,Surprised,None,Gold Ruler,Naiade,Feeling Turquoise,None,Blue To The Left,Deep Bronze,Purple Pink,Black Mask,59.91048517648988,62
63,Burgundy,Stern,Classic Hoops,Back To The 90s,Cabaret Corset,Lioness,None,Black To The Right,Medium Olive,Dark Purple,None,30.907086732424844,63
64,Burgundy,Stern,Flower Power,Tutti Frutti Beads,Queen's Dress,Curly Ponytail,Cyber Warrior,Blue Straight,Cool Blue,Pink Pastel,Red Round Sunglasses,80.15688031512089,64
65,Flashy Blue,Cigarette,60s Fantasy,Tutti Frutti Beads,70s Shirt,Boy Cut,Eye Scar,Brown Eye Roll,Deep Bronze,Yellow Pink,Round Glasses,87.3017380755945,65
66,Burgundy,Surprised,Silver Drops,Tutti Frutti Beads,Fantasy Shirt,Retro,Antoinette,Green To The Right,Deep Warm Gold,Orange Yellow,None,40.32421974926898,66
67,Burgundy,Surprised,None,Amazonite Energy,Gala Dress,Curly Ponytail,Eye Scar,Brown Straight,Rainbow Bright,Dark Purple,None,42.08759174956391,67
68,Burgundy,Countryside,Lucky Charms,Art Lover,White Tee,Badass Bob,Sunset,Blue To The Right,Deep Bronze,Yellow Pink,None,56.12711675116218,68
69,Burgundy,Slightly Open,WoW Coins,Back To The 90s,Polka Dot Top,Bun,Leader,Black Eye Roll,Medium Olive,Green Purple,None,41.387425467810964,69
70,Passion Red,Surprised,Spikes,Satin Choker,80s Silk Shirt,Rose Hair,Heart Tattoo,Brown To The Left,Medium Gold,Pink Pastel,Black Mask,66.05855199095127,70
71,Passion Red,Slight Smile,Yam's Fave,None,Little Red Dress,Lioness,None,Blue To The Right,Rainbow Bright,Orange Yellow,None,20.598544246140293,71
72,Burgundy,Slightly Open,Silver Drops,None,Futuristic Dress,Fuchsia,Heart Tattoo,Green Eye Roll,Deep Bronze,Purple Pink,None,25.306906981535583,72
73,Purple,Bubble Gum,None,Satin Choker,Faux Fur Coat,Bob,Eyebrow Tattoo MMXXI,Purple To The Right,Medium Olive,Yellow Pink,3D Glasses,74.88737962690453,73
74,Flashy Blue,Bubble Gum,Spikes,Gold Ruler,Striped Tee,Long Dark,Red Eyeliner,Brown Straight,Deep Warm Gold,Green Purple,None,56.265737610276744,74
75,Gold,Surprised,None,None,Freedom Is Power Tee,Royal,Rainbow,Purple To The Right,Light Warm Yellow,Green Orange,70s Feels,57.42768679681332,75
76,Burgundy,Stern,Pizza Lovers,Sun Keeper,Fantasy Shirt,Lioness,Sunset,Blue Eye Roll,Light Medium Warm Gold,Dark Purple,Red Round Sunglasses,73.80439073833017,76
77,Purple,Surprised,None,Golden Bib,70s Shirt,Royal,Neck Tattoo,Black To The Right,Light Warm Olive,Orange Yellow,Black Round Retro,65.8933858278686,77
78,Burgundy,Huh,WoW Coins,None,Steampunk Octopus Top,None,Rose Tattoo,Black Straight,Light Warm Yellow,Orange Yellow,None,38.78561240855063,78
79,Flashy Blue,Slightly Open,None,Golden Flakes,Striped Tee,Braided Ponytail,Marilyn,Black Eye Roll,Medium Olive,Dark Purple,None,33.178880532437255,79
80,Purple,Slightly Open,None,Sun Keeper,80s Silk Shirt,Royal,Flashy Blue,Green To The Left,Light Warm Yellow,Green Purple,None,35.32513260247515,80
81,Purple,Slightly Open,60s Fantasy,Satin Choker,Freedom Is Power Tee,Braided Ponytail,Neck Tattoo,Heterochromia To The Right,Medium Olive,Purple Pink,Classic Aviator WoW,79.20600573094447,81
82,Burgundy,Slightly Open,Flower Power,Back To The 90s,Cabaret Corset,Royal,None,Black Straight,Medium Olive,Green Purple,None,36.890238354834985,82
83,Passion Red,Slight Smile,Lucky Charms,Malka,Fantasy Shirt,Royal,Rainbow,Purple Straight,Golden,Yellow Pink,None,46.59136731242788,83
84,Passion Red,Whistle,Classic Hoops,Gold Ruler,Adventurer,Silver,Nose Piercing,Green To The Right,Medium Olive,Soft Purple,3D Glasses,73.73179763963064,84
85,Flashy Blue,Cigarette,None,Satin Choker,Adventurer,Lioness,Claw Scar,Black To The Right,Light Medium Warm Gold,Blue Green,Red Round Sunglasses,71.30820742791006,85
86,Purple,Huh,Pearls,WoW Coin,Polka Dot Top,Bun,Nose Piercing,Blue To The Left,Light Warm Yellow,Orange Yellow,None,48.354364174842765,86
87,Gold,Surprised,Spikes,Tutti Frutti Beads,Cabaret Corset,Black And White,Eyebrow Piercing,Green Eye Roll,Deep Bronze,Orange Yellow,Classic Aviator WoW,81.83412371514119,87
88,Burgundy,Slightly Open,60s Fantasy,Malka,Freedom Is Power Tee,Fuchsia,Flashy Blue,Green To The Left,Deep Neutral,Green Purple,None,47.046924343083404,88
89,Burgundy,Whistle,Classic Hoops,Satin Choker,Cherry Tee,Boy Cut,Eyebrow Tattoo MMXXI,Black To The Right,Light Medium Warm Gold,Blue Green,None,43.70537008278908,89
90,Passion Red,Slight Smile,Silver Drops,None,Cabaret Corset,Badass Bob,Marilyn,Brown To The Left,Cyber Green,Yellow Pink,Psychedelic Sunglasses,53.85512615989676,90
91,Party Pink,Slightly Open,White Ovals,Sun Keeper,Red Leather Jacket,Lollipop,Heart Tattoo,Yellow To The Left,Burning Red,Dark Emerald,None,55.328009532098896,91
92,Burgundy,Stern,Ocean Hoops,Gold Ruler,Freedom Is Power Tee,Purple Rainbow,Claw Scar,Brown To The Right,Cool Blue,Soft Purple,70s Feels,78.32777642213871,92
93,Passion Red,Slight Smile,Triple Rings,Sun Keeper,Polka Dot Top,Fuchsia,Freckles,Black Eye Roll,Deep Neutral,Green Orange,None,29.751472395327493,93
94,Purple,Countryside,60s Fantasy,None,Emerald Elven Cape,Double Buns,Antoinette,Green Straight,Medium Gold,Green Orange,None,38.11202842059089,94
95,Passion Red,Stern,Spikes,Rainbow,Freedom Is Power Tee,Bun,None,Green To The Left,Deep Bronze,Green Purple,Black Mask,59.75207850766303,95
96,Burgundy,Surprised,Silver Drops,None,Checkmate,Lollipop,Eye Scar,Blue Straight,Cyber Green,Soft Purple,Black Mask,60.00287596470749,96
97,Passion Red,Slightly Open,Lucky Charms,None,Futuristic Dress,Curly Ponytail,None,Black To The Left,Golden,Green Orange,None,19.125602043602296,97
98,Passion Red,Slightly Open,None,None,Steampunk Octopus Top,Badass Bob,None,Black To The Left,Light Warm Yellow,Yellow Pink,Cateye Sunglasses,36.22956114302304,98
99,Burgundy,Slightly Open,Classic Hoops,Amazonite Energy,70s Shirt,Royal,Heart Tattoo,Brown Eye Roll,Burning Red,Yellow Pink,Hypnotic Glasses,79.81350977800619,99
100,Passion Red,Slightly Open,Yam's Fave,Tutti Frutti Beads,Cherry Tee,Retro,Marilyn,Black Eye Roll,Deep Warm Gold,Yellow Pink,None,33.396756898531365,100
101,Passion Red,Slight Smile,Pearls,None,Adventurer,Boy Cut,Eyebrow Piercing,Blue To The Right,Medium Gold,Orange Yellow,Black Mask,48.314651893832135,101
102,Passion Red,Stern,White Ovals,Wolf Pendant,Polka Dot Top,Lucky Green,Treble Bass Clef Tattoo,Purple To The Left,Medium Olive,Green Purple,Black Round Retro,75.59410661148519,102
103,Flashy Blue,Stern,Spikes,None,Little Red Dress,Silver,None,Blue Eye Roll,Cyber Green,Blue Green,70s Feels,59.005821516477994,103
104,Passion Red,Slightly Open,Spikes,Amazonite Energy,Painter's Overall,Natural Red,Freckles,Black Eye Roll,Light Warm Olive,Soft Purple,Psychedelic Sunglasses,61.48212853429491,104
105,Passion Red,Surprised,None,Malka,Cherry Tee,Rose Hair,Nose Piercing,Black To The Left,Deep Warm Gold,Dark Emerald,70s Feels,50.64560364396101,105
106,Burgundy,Surprised,None,None,Emerald Elven Cape,Curly Pearl Updo,Pearl Eyes,Green Straight,Light Medium Warm Gold,Green Orange,Classic Aviator WoW,53.42579016000401,106
107,Gold,Stern,Classic Hoops,Malka,Painter's Overall,Lioness,Red Eyeliner,Blue Straight,Deep Warm Gold,Red Turquoise,Black Mask,80.09741457876628,107
108,Space,Whistle,Silver Drops,Tutti Frutti Beads,Painter's Overall,Royal,Marilyn,Heterochromia Straight,Light Warm Yellow,Yellow Pink,Red Round Sunglasses,89.77142098797918,108
109,Purple,Slightly Open,Classic Hoops,Gold Ruler,Psychedelic Dress,Curly Ponytail,Marilyn,Green To The Right,Medium Gold,Soft Purple,Oversized Statement Sunglasses,73.58639285034525,109
110,Space,Slightly Open,Spikes,None,Futuristic Dress,Curly Ponytail,None,Black Straight,Cyber Green,Blue Green,None,33.65426695633215,110
111,Burgundy,Slightly Open,Ocean Hoops,Back To The 90s,Cherry Tee,Bob,Flashy Blue,Brown To The Right,Cool Blue,Pink Pastel,Round Glasses,73.27602398266437,111
112,Party Pink,Stern,Yam's Fave,Golden Flakes,Striped Tee,Long Dark,Heart Tattoo,Brown Eye Roll,Deep Bronze,Pink Pastel,None,48.92241152715017,112
113,Passion Red,Slight Smile,Flower Power,Back To The 90s,80s Silk Shirt,Bun,Rose Tattoo,Blue Eye Roll,Light Warm Yellow,Pink Pastel,Oversized Statement Sunglasses,69.49895737243892,113
114,Party Pink,Stern,Triple Rings,Sun Keeper,Fantasy Shirt,Natural Red,Freckles,Brown To The Right,Light Medium Warm Gold,Green Purple,Black Mask,75.17120385006079,114
115,Passion Red,Slightly Open,None,Golden Flakes,Polka Dot Top,Long Dark,Nose Piercing,Yellow Eye Roll,Medium Olive,Purple Pink,Cateye Sunglasses,58.22000743180485,115
116,Gold,Surprised,Spikes,Amazonite Energy,Faux Fur Coat,Bun,Marilyn,Black Eye Roll,Light Warm Olive,Orange Yellow,None,47.139291361280264,116
117,Passion Red,Countryside,60s Fantasy,Satin Choker,Little Red Dress,Lioness,Pearl Eyes,Black To The Left,Deep Neutral,Orange Yellow,None,40.56867577695341,117
118,Party Pink,Bubble Gum,60s Fantasy,None,Emerald Elven Cape,Platinum Pixie,Eyebrow Tattoo MMXXI,Brown Straight,Deep Bronze,Dark Emerald,None,45.633752379995016,118
119,Passion Red,Slightly Open,Triple Rings,None,Futuristic Dress,Bob,Rose Tattoo,Purple To The Right,Light Warm Yellow,Purple Pink,None,21.965328931868235,119
120,Purple,Stern,Ocean Hoops,Sun Keeper,White Tee,Lucky Green,Antoinette,Blue Straight,Light Warm Olive,Pink Pastel,Red Round Sunglasses,69.65061775787123,120
121,Passion Red,Slightly Open,60s Fantasy,Sun Keeper,Red Leather Jacket,Boy Cut,Marilyn,Black To The Right,Rainbow Bright,Green Orange,Red Round Sunglasses,67.55091210204688,121
122,Purple,Stern,Classic Hoops,WoW Coin,Striped Tee,Platinum Pixie,None,Black Straight,Deep Warm Gold,Blue Green,Hypnotic Glasses,64.30179948188996,122
123,Passion Red,Surprised,Triple Rings,Malka,Adventurer,Lioness,Rainbow,Blue To The Right,Rainbow Bright,Red Turquoise,Black Round Retro,69.47255406111235,123
124,Purple,Stern,Spikes,Amazonite Energy,Striped Tee,Braided Ponytail,Eye Scar,Black To The Left,Light Medium Warm Gold,Red Turquoise,None,39.901608904629086,124
125,Purple,Countryside,None,None,Polka Dot Top,Curly Ponytail,None,Black To The Right,Deep Warm Gold,Soft Purple,70s Feels,40.15214218095372,125
126,Purple,Whistle,Classic Hoops,Gold Ruler,Cabaret Corset,Bun,Freckles,Black Eye Roll,Light Warm Olive,Dark Purple,None,43.77798826453203,126
127,Purple,Cigarette,Lightning Bolts,None,Checkmate,Braided Ponytail,Marilyn,Blue Eye Roll,Rainbow Bright,Blue Green,Psychedelic Sunglasses,72.79393683004871,127
128,Purple,Slightly Open,Lucky Charms,WoW Coin,Fantasy Shirt,Bob,Eyebrow Tattoo MMXXI,Green To The Left,Light Warm Olive,Green Orange,None,45.22425831625613,128
129,Passion Red,Whistle,Yam's Fave,Rainbow,Queen's Dress,Rose Hair,Heart Tattoo,Green To The Right,Deep Warm Gold,Dark Purple,None,45.032839424407086,129
130,Burgundy,Stern,Empresses Of Darkness,None,Checkmate,Black And White,Antoinette,Brown Eye Roll,Light Warm Olive,Green Purple,Round Glasses,61.31033560865371,130
131,Burgundy,Surprised,Triple Rings,Satin Choker,Cabaret Corset,Finger Waves,Antoinette,Blue Eye Roll,Light Warm Olive,Orange Yellow,None,40.000630403562944,131
132,Purple,Slightly Open,Lucky Charms,Rainbow,Fantasy Shirt,Natural Red,Rose Tattoo,Black Eye Roll,Medium Gold,Dark Purple,None,43.48748313745017,132
133,Passion Red,Surprised,Ocean Hoops,None,Psychedelic Dress,Natural Red,Freckles,Black To The Right,Light Medium Warm Gold,Pink Pastel,None,15.28224020440739,133
134,Passion Red,Stern,60s Fantasy,None,Cherry Tee,Lollipop,Rainbow,Heterochromia Straight,Medium Olive,Purple Pink,Round Glasses,50.69858925201297,134
135,Passion Red,Surprised,Ocean Hoops,Sun Keeper,Striped Tee,Rose Hair,Elven Warrior,Black Straight,Deep Warm Gold,Green Purple,Psychedelic Sunglasses,65.10756975797436,135
136,Burgundy,Huh,Triple Rings,Sun Keeper,Psychedelic Dress,Long Dark,Red Eyeliner,Green To The Left,Light Medium Warm Gold,Red Turquoise,None,48.387490012591286,136
137,Passion Red,Slight Smile,None,Satin Choker,Psychedelic Dress,Lioness,Eyebrow Piercing,Green To The Right,Medium Olive,Green Purple,70s Feels,52.237165558862706,137
138,Passion Red,Slight Smile,Silver Drops,Golden Bib,Red Leather Jacket,Fuchsia,Red Eyeliner,Heterochromia Eye Roll,Medium Gold,Green Purple,Cateye Sunglasses,71.51973178847813,138
139,Burgundy,Countryside,Empresses Of Darkness,Golden Flakes,Little Red Dress,Badass Bob,Red Eyeliner,Brown Eye Roll,Medium Gold,Purple Pink,70s Feels,81.45772906317667,139
140,Purple,Stern,Classic Hoops,Satin Choker,Red Leather Jacket,Lioness,Marilyn,Purple Eye Roll,Cool Blue,Pink Pastel,None,45.85827862025115,140
141,Purple,Stern,WoW Coins,WoW Coin,Striped Tee,Purple Rainbow,Freckles,Brown To The Right,Deep Bronze,Blue Green,None,45.25732602680153,141
142,Burgundy,Stern,Pearls,Satin Choker,Faux Fur Coat,Long Dark,Rainbow,Black To The Left,Cool Blue,Dark Purple,Hypnotic Glasses,73.57325030188733,142
143,Gold,Bubble Gum,Silver Drops,None,Adventurer,Badass Bob,Heart Tattoo,Green Straight,Cool Blue,Blue Green,None,47.410332983787235,143
144,Passion Red,Slight Smile,None,Back To The 90s,70s Shirt,Black And White,None,Black To The Right,Deep Bronze,Blue Green,Round Glasses,46.80882230849185,144
145,Purple,Surprised,Classic Hoops,None,Tuxedo,Natural Red,Marilyn,Black Straight,Light Medium Warm Gold,Green Orange,Black Round Retro,55.056819990608766,145
146,Burgundy,Countryside,None,Golden Flakes,Fantasy Shirt,Curly Ponytail,Marilyn,Black To The Right,Golden,Blue Green,Oversized Statement Sunglasses,68.97718302053659,146
147,Flashy Blue,Surprised,Triple Rings,Tutti Frutti Beads,Psychedelic Dress,Braided Ponytail,Marilyn,Blue Eye Roll,Light Warm Yellow,Green Purple,None,45.131697128013556,147
148,Passion Red,Slight Smile,Classic Hoops,None,Painter's Overall,Long Dark,Heart Tattoo,Black To The Right,Medium Olive,Blue Green,None,16.120979801861438,148
149,Party Pink,Huh,None,Satin Choker,NFT Goddesses Top,Platinum Pixie,Flashy Blue,Green To The Right,Burning Red,Yellow Pink,Psychedelic Sunglasses,82.0719186370125,149
150,Party Pink,Cigarette,Classic Hoops,None,Striped Tee,Boy Cut,Flashy Blue,Blue Eye Roll,Medium Gold,Blue Green,70s Feels,68.72641594392816,150
151,Burgundy,Slightly Open,Ocean Hoops,Satin Choker,Fantasy Shirt,Feeling Turquoise,Eyebrow Tattoo MMXXI,Black Eye Roll,Light Warm Olive,Purple Pink,Classic Aviator WoW,70.22515382077633,151
152,Passion Red,Countryside,None,Golden Flakes,Queen's Dress,Lollipop,Eyebrow Piercing,Blue To The Right,Light Warm Olive,Green Orange,Red Round Sunglasses,57.51342507793296,152
153,Flashy Blue,Surprised,None,None,Warrior Armor,Lucky Green,Red Eyeliner,Black Straight,Light Warm Yellow,Green Purple,Cateye Sunglasses,53.09547169006904,153
154,Flashy Blue,Whistle,Silver Drops,Rainbow,Polka Dot Top,Lucky Green,Marilyn,Black To The Left,Light Warm Yellow,Yellow Pink,None,49.87323128559261,154
155,Purple,Surprised,Spikes,Tutti Frutti Beads,Polka Dot Top,None,None,Black To The Left,Cool Blue,Dark Purple,Red Round Sunglasses,65.4244531064488,155
156,Party Pink,Slight Smile,Spikes,None,Witch Dress,Lollipop,Rainbow,Black To The Left,Deep Warm Gold,Orange Yellow,Round Glasses,58.05474086984177,156
157,Party Pink,Countryside,60s Fantasy,Tutti Frutti Beads,Little Red Dress,Fuchsia,Eye Scar,Blue Straight,Deep Bronze,Dark Emerald,70s Feels,84.04627145999898,157
158,Burgundy,Slight Smile,Flower Power,None,Cherry Tee,Retro,Marilyn,Green Eye Roll,Deep Neutral,Dark Purple,Red Round Sunglasses,56.932431335806434,158
