,Lips Color,Mouth,Earrings,Clothes,Hairstyle,Implants,Facial Features,Eyes,Skin Tone,Background,Necklace,Face Accessories,Champion,Guardian,Rarity score,Token Id
10,Blue,Kiss,Candy Gem Cuff,Astrosuit,Might And Pride,Copper Plating,Green Cleo,Laser Left,Deep Warm Gold,Yellow Squares,None,Ultraglasses,None,None,43.482431940869034,14
11,Unstoppable,Little Smile,None,Bomber Jacket,Superior Ponytail,Pink Network,Triple Brow Scar,Binary Green Eye Roll,Medium Gold,Cross,None,Truth Vision Monocle,None,None,35.923736144134004,15
12,Rust,Down To Business,Geometric Neons,Jungle Guard,Might And Pride,Space Crystals,Blue Bridge,Laser Left,Golden,Yellow Squares,Potion Seller,None,None,None,32.9569552677879,16
13,Unstoppable,Little Smile,Candy Gem Cuff,Astrosuit,Happy Buns,Steel Force Bindings,Eyebrow Stars,Flame Eye Roll,Light Medium Warm Gold,Orange Lava,Creators,The Groove,None,None,63.91982842134192,17
14,Rust,Surprised,Wave Harnesser,New Era Dress,Sugar Rush,Space Crystals,Child Of Sun,Rainbow Glass Eye Roll,Light Warm Olive,Wave,None,None,None,None,6.714185756639017,18
15,Blue,Munching,Bar Combo,Cryptography Tunic,Might And Pride,Alu Threads,Lightning Within,Binary Green Straight,Burning Red,Wave,Creators,Eye Patch,None,None,66.1739269128774,20
16,Passion,Slightly Open,Signal Scrambler,Moon Robe,Creative Freedom,Steel Force Bindings,Cosmos Birthmark,Hypnotic Eye Roll,Light Medium Warm Gold,Green Blue Circles,None,Truth Vision Monocle,None,None,37.65874651035927,22
17,Passion,Down To Business,Recycled,Neon Party Pink,Scarlet Power,Space Crystals,None,Binary Green Straight,Deep Warm Gold,Pink V,Color Party,Pilot Goggles,None,None,53.52896277102318,23
18,Rust,Huh But Gold,Spines,Neptune Ward,Disruptor,Gold Plaques,Eyebrow Stars,Binary Green Eye Roll,Medium Gold,Interferences,None,None,None,None,16.537820973333154,24
19,Blue,Surprised,Ancient Knowledge,Lyrium Dress,Yellow Curls,Gems,Racer Mark,Ice Left,Medium Olive,Yellow Green Stripes,None,Isil,None,None,40.08233013096967,25
20,Blue,Little Smile,Wave Harnesser,Lyrium Dress,Bald And Bold,Gems,Eyebrow Stars,Rainbow Glass Right,Deep Neutral,Pink V,None,None,None,None,15.044821420202211,26
21,Unstoppable,Surprised,Signal Scrambler,Fiery Corset,Cyber Mint,Steel Force Bindings,Feathers Of Resilience,Golden Cyborg Left,Medium Gold,Green Blue Circles,Mars Metal,Truth Vision Monocle,None,None,62.927280090445215,27
22,Universe,Down To Business,Geometric Neons,Bomber Jacket,Street Updo,Gold Plaques,Phynx,Laser Straight,Night Goddess,W For WoW,None,None,None,None,19.991586830805005,28
23,Celebration,Little Smile,Double Gold Hoops,Cryptography Tunic,Lava Flow,Pink Network,Purple Beauty Piercing,Hypnotic Right,Light Medium Warm Gold,Yellow Green Stripes,None,None,None,None,20.556613971290925,29
24,Universe,Alien Gum,Hexa,Neoprene Bodysuit,Happy Buns,Pink Network,Heating Power Tattoo,Hypnotic Straight,Deep Bronze,Yellow Green Stripes,None,None,None,None,25.635170941038503,30
25,Bicolor,Kiss,Balanced Planets,Jungle Guard,Royal Warrior,Space Crystals,None,Rainbow Glass Eye Roll,Light Warm Olive,Interferences,None,None,None,None,24.615684237068994,31
26,Celebration,Little Smile,Spines,Rebel Harness,Sugar Rush,Gems,Punktron,Ice Left,Medium Olive,Pink V,None,Isil,None,None,47.18632470543713,32
27,Bicolor,Little Smile,Hexa,Cryptography Tunic,Shiny Ice Queen,Pink Network,Punktron,Binary Green Eye Roll,Light Medium Warm Gold,Wave,Gem Keeper,None,None,None,38.772480735658625,33
28,Peachy,Little Smile,Hexa,Sand Queen,Street Updo,Copper Plating,Feathers Of Resilience,Hypnotic Eye Roll,Deep Bronze,Cross,Color Party,Truth Vision Monocle,None,None,59.847388299574156,34
29,Bicolor,Kiss,Star Diamonds,New Era Dress,Lava Flow,Alu Threads,Heating Power Tattoo,Binary Green Eye Roll,Light Warm Olive,Orange Lava,Power of Dhahab,None,None,None,44.31365535428966,35
30,Rust,Little Smile,None,Fiery Corset,Synthetic Purple,Gold Plaques,Eyebrow Stars,Binary Green Left,Burning Red,W For WoW,None,None,None,None,4.656342436335135,36
31,Blue,Surprised,Geometric Neons,Rebel Harness,Might And Pride,Copper Plating,Triple Brow Scar,Flame Left,Cool Blue,Pink V,None,None,None,None,12.486657103705614,37
32,Blue,Health Meter,Recycled,Neoprene Bodysuit,Synthetic Purple,Space Crystals,Green Cleo,Laser Left,Light Warm Olive,Purple Blue Spikes,Power of Dhahab,Positive Vision,None,None,64.14576322095928,38
33,Blue,Slightly Open,None,Astrosuit,Creative Freedom,Gems,Feathers Of Resilience,Laser Left,Cyber Green,Yellow Green Stripes,None,Truth Vision Monocle,None,None,35.20833230855382,39
34,Unstoppable,Down To Business,Geometric Neons,Fireproof Suit,Yellow Curls,Gems,Blue Bridge,Flame Right,Deep Neutral,Wave,Color Party,Ultraglasses,None,None,59.34438471069291,40
35,Rust,Little Smile,Bar Combo,Cryptography Tunic,Rebel,Emerald Printed Circuit,Neon Septum,Laser Right,Medium Gold,Purple Blue Spikes,None,None,None,None,6.273020592052238,41
36,Rust,Little Smile,Bar Combo,Fiery Corset,Yellow Curls,Gold Plaques,Unseen Protector,Ice Eye Roll,Light Warm Olive,Interferences,Power of Dhahab,Nomad,None,None,49.22252339649466,42
37,Bicolor,Munching,Lunar Rings,Bomber Jacket,Shades Of Red,Gems,None,Binary Green Right,Deep Bronze,Cross,None,Queen Of The Desert,None,None,42.81791893771618,43
38,Peachy,Health Meter,Signal Scrambler,New Era Dress,Yellow Curls,Steel Force Bindings,None,Flame Straight,Medium Gold,Wave,Potion Seller,Queen Of The Desert,None,None,68.18859014506073,44
39,Blue,Surprised,None,Neoprene Bodysuit,Fuchsia Spirit,Steel Force Bindings,None,Laser Straight,Medium Gold,Orange Lava,Creators,Got Attitude,None,None,48.948112258276765,45
40,Blue,Little Smile,Geometric Neons,Star Hunter,Scarlet Power,Gold Plaques,Feathers Of Resilience,Ice Eye Roll,Deep Bronze,Interferences,Hexagon Field,None,None,None,33.49220940044268,46
41,Blue,Down To Business,Rainbow Steel,Rebel Harness,Synthetic Purple,Copper Plating,Purple Beauty Piercing,Flame Right,Burning Red,Interferences,None,None,None,None,14.684346912004683,47
42,Rust,Little Smile,Spiralhani,Sand Queen,Hypersonic,Emerald Printed Circuit,Phynx,Hypnotic Eye Roll,Medium Gold,Wave,Synthetic Thorns,Truth Vision Monocle,None,None,51.61647877869242,48
43,Celebration,Surprised,Lunar Rings,Holographic Hoodie,Cyber Mint,Steel Force Bindings,Neon Septum,Flame Left,Light Medium Warm Gold,Green Blue Circles,None,Isil,None,None,45.36799510752682,49
44,Rust,Slightly Open,Recycled,Butterfly Tamer,Cyber Mint,Gold Plaques,Smokey Purple,Binary Green Straight,Light Warm Yellow,Cross,Elixir,Isil,None,None,53.08784836727028,50
45,Unstoppable,Health Meter,Wave Harnesser,Pilot,Shades Of Red,Emerald Printed Circuit,Child Of Sun,Binary Green Eye Roll,Medium Olive,Retro Blue,Yela,None,None,None,45.04259900670561,51
46,Bicolor,Little Smile,None,Streestyle Body,Cyber Mint,Gold Plaques,Flowers Of Life Runes,Ice Straight,Burning Red,Cross,Protection Pendant,Eye Patch,None,None,62.14184715977551,52
47,Passion,Down To Business,Rainbow Steel,Lyrium Dress,Talisman,Steel Force Bindings,Child Of Sun,Flame Eye Roll,Light Warm Olive,Purple Blue Spikes,None,None,None,None,12.30916856339688,53
48,Peachy,Kiss,None,Holographic Hoodie,Happy Buns,Emerald Printed Circuit,Blue Bridge,Deep Sentient Straight,Deep Neutral,Yellow Squares,None,None,None,None,18.48258684453195,54
49,Rust,Kiss,Bar Combo,Astrosuit,Sugar Rush,Pink Network,Heating Power Tattoo,Laser Right,Light Medium Warm Gold,Wave,Elixir,None,None,None,31.46675663035906,55
50,Rust,Little Smile,Lunar Rings,Pilot,Super Rainbow,Emerald Printed Circuit,Green Cleo,Laser Left,Light Medium Warm Gold,W For WoW,Gem Keeper,Pilot Goggles,None,None,53.157763276479905,56
51,Bicolor,Surprised,Lunar Rings,Astrosuit,Shiny Ice Queen,Copper Plating,Turquoise,Binary Green Straight,Light Warm Yellow,Interferences,Creators,Stats Tracker,None,None,66.66348306027638,57
52,Rust,Little Smile,Signal Scrambler,Moon Robe,Fuchsia Spirit,Alu Threads,Triple Brow Scar,Deep Sentient Eye Roll,Light Warm Yellow,W For WoW,None,Pilot Goggles,None,None,34.22109514509125,59
53,Blue,Little Smile,Spiralhani,Streestyle Body,Street Updo,Copper Plating,Green Cleo,Laser Straight,Deep Neutral,Yellow Green Stripes,Elixir,None,None,None,29.66179989466206,60
54,Unstoppable,Little Smile,Signal Scrambler,Neptune Ward,Cyber Mint,Alu Threads,Phynx,Ice Eye Roll,Golden,Cross,None,Ultraglasses,None,None,46.505828939233766,61
55,Passion,Surprised,Spiralhani,Fiery Corset,Big Burgundy,Steel Force Bindings,None,Ice Left,Deep Bronze,Yellow Green Stripes,Traveler,None,None,None,29.559581046823126,62
56,Rust,Down To Business,Spines,Ambassador Attire,Cyber Mint,Steel Force Bindings,Lightning Within,Binary Green Left,Medium Olive,Orange Lava,None,None,None,None,10.18411110256076,63
57,Universe,Slightly Open,None,Streestyle Body,Cyber Mint,Pink Network,Purple Beauty Piercing,Ice Right,Cool Blue,Orange Lava,Seeker,None,None,None,35.79478360226477,64
58,Bicolor,Little Smile,Bar Combo,Neoprene Bodysuit,Creative Freedom,Space Crystals,Eyebrow Stars,Ice Eye Roll,Deep Bronze,Purple Blue Spikes,Seeker,None,None,None,35.65490389946005,65
59,Rust,Slightly Open,Signal Scrambler,Bomber Jacket,Iridium Medusa,Gems,Purple Beauty Piercing,Rainbow Glass Right,Deep Warm Gold,Wave,None,None,None,None,9.557342806224947,66
60,Peachy,Health Meter,Geometric Neons,Star Hunter,Happy Buns,Pink Network,Triple Brow Scar,Binary Green Right,Rainbow Bright,Pink V,None,None,None,None,26.442151235811117,67
61,Peachy,Kiss,Recycled,Moon Robe,Cyber Mint,Gold Plaques,Blue Bridge,Rainbow Glass Left,Deep Bronze,Cross,None,Queen Of The Desert,None,None,46.16418110170244,68
62,Blue,Kiss,Bar Combo,Streestyle Body,Disruptor,Gold Plaques,Child Of Sun,Deep Sentient Straight,Medium Olive,Cross,Protection Pendant,Visored Mask,None,None,60.99058180625687,69
63,Rust,Slightly Open,Lunar Rings,Mind Healer,Shades Of Red,Alu Threads,Green Cleo,Rainbow Glass Eye Roll,Medium Gold,Orange Lava,Seeker,Isil,None,None,53.730719877519704,70
64,Passion,Slightly Open,Lunar Rings,Butterfly Tamer,Shiny Ice Queen,Copper Plating,Heating Power Tattoo,Hypnotic Eye Roll,Rainbow Bright,Pink V,Yela,AR Glasses,None,None,63.12098139081763,71
65,Passion,Huh But Gold,None,Scavenger,Disruptor,Pink Network,Purple Beauty Piercing,Ice Left,Deep Bronze,Green Blue Circles,Color Party,Ultraglasses,None,None,59.573044844852255,72
66,Rust,Kiss,None,Sand Queen,Superior Ponytail,Alu Threads,Child Of Sun,Ice Right,Medium Olive,Green Blue Circles,Yela,None,None,None,25.473608128334906,73
67,Rust,Health Meter,Ancient Knowledge,Cairys Suit,Sugar Rush,Steel Force Bindings,Child Of Sun,Hypnotic Eye Roll,Deep Warm Gold,W For WoW,None,Weather Goggles,None,None,41.30628636693221,74
68,Rust,Surprised,Candy Gem Cuff,Cairys Suit,Scarlet Power,Alu Threads,Moon Lava,Deep Sentient Eye Roll,Light Warm Yellow,Pink V,None,Nomad,None,None,36.02870614735683,75
69,Rust,Surprised,Wave Harnesser,Scavenger,Street Updo,Gems,Eyebrow Stars,Ice Right,Light Medium Warm Gold,Cross,Synthetic Thorns,None,None,None,30.50916725704142,76
70,Peachy,Surprised,Bar Combo,Streestyle Body,Fuchsia Spirit,Emerald Printed Circuit,Unseen Protector,Laser Eye Roll,Light Warm Olive,Cross,Creators,Truth Vision Monocle,None,None,58.43252428249783,77
71,Passion,Sandstorm Mask,None,Mind Healer,Cyber Mint,Emerald Printed Circuit,Phynx,Flame Left,Light Warm Yellow,Orange Lava,Yela,None,None,None,34.468678458277566,78
72,Deep Green,Sandstorm Mask,Signal Scrambler,Neoprene Bodysuit,Lava Flow,Alu Threads,Smokey Purple,Laser Right,Medium Olive,Yellow Squares,Power of Dhahab,None,None,None,49.550837974847376,79
73,Peachy,Little Smile,Lunar Rings,Cairys Suit,Shades Of Red,Gold Plaques,Green Cleo,Hypnotic Right,Medium Olive,Retro Blue,None,Positive Vision,None,None,42.34723508059175,81
74,Unstoppable,Little Smile,Lunar Rings,Blazer,Disruptor,Emerald Printed Circuit,Unseen Protector,Flame Left,Golden,Wave,None,None,None,None,19.66351891904141,83
75,Rust,Little Smile,Geometric Neons,Fireproof Suit,Superior Ponytail,Alu Threads,Feathers Of Resilience,Rainbow Glass Eye Roll,Medium Olive,Orange Lava,Silver Moth,Pilot Goggles,None,None,53.98626047891012,84
76,Rust,Munching,Bar Combo,Neoprene Bodysuit,Might And Pride,Gold Plaques,Eyebrow Stars,Deep Sentient Left,Light Medium Warm Gold,Cross,Color Party,Weather Goggles,None,None,57.160278086646066,85
77,Celebration,Slightly Open,Bar Combo,Mind Healer,Energy,Pink Network,None,Binary Green Straight,Light Warm Yellow,Retro Blue,None,None,None,None,16.758394972016355,86
78,Passion,Little Smile,Ice Shards,Rebel Harness,Scarlet Power,Alu Threads,Lightning Within,Laser Straight,Deep Bronze,Interferences,None,Isil,None,None,38.85305470584163,87
79,Blue,Kiss,Star Diamonds,Ambassador Attire,Energy,Gems,Unseen Protector,Laser Straight,Deep Neutral,W For WoW,None,Ultraglasses,None,None,40.33786484122917,88
80,Deep Green,Surprised,Hexa,Sand Queen,Street Updo,Emerald Printed Circuit,Bioluminescent Scar,Laser Straight,Light Medium Warm Gold,Orange Lava,Yela,Weather Goggles,None,None,64.10541275208928,89
81,Celebration,Surprised,Wave Harnesser,Star Hunter,Disruptor,Emerald Printed Circuit,Turquoise,Flame Left,Cyber Green,W For WoW,Hexagon Field,None,None,None,46.156230329091876,90
82,Deep Green,Surprised,Recycled,Neoprene Bodysuit,Asymetric Style,Alu Threads,Triple Brow Scar,Rainbow Glass Right,Burning Red,Purple Blue Spikes,Mars Metal,Nomad,None,None,65.03611112841551,91
83,Passion,Huh But Gold,Signal Scrambler,Bomber Jacket,Might And Pride,Emerald Printed Circuit,Blue Bridge,Golden Cyborg Straight,Cool Blue,Interferences,None,Weather Goggles,None,None,48.54468152328268,92
84,Passion,Surprised,Spiralhani,Scavenger,Sugar Rush,Steel Force Bindings,Turquoise,Laser Eye Roll,Deep Neutral,Cross,None,None,None,None,11.273562979204437,93
85,Blue,Down To Business,Rainbow Steel,Holographic Hoodie,Big Burgundy,Alu Threads,Eyebrow Stars,Ice Left,Medium Gold,Green Blue Circles,None,None,None,None,15.429508213449008,94
86,Bicolor,Health Meter,Hexa,Streestyle Body,Street Updo,Alu Threads,Healing Band,Binary Green Eye Roll,Deep Bronze,Yellow Squares,Rings Of Force,Weather Goggles,None,None,73.48217180131994,95
87,Passion,Alien Gum,Bar Combo,Rebel Harness,Shades Of Red,Alu Threads,Neon Septum,Laser Left,Cyber Green,Yellow Green Stripes,None,Ultraglasses,None,None,45.07474564622511,96
88,Peachy,Slightly Open,Geometric Neons,Cryptography Tunic,Synthetic Purple,Steel Force Bindings,Turquoise,Hypnotic Right,Golden,Yellow Squares,None,Isil,None,None,42.87186248980898,97
89,Passion,Kiss,Wave Harnesser,Fiery Corset,Asymetric Style,Gems,Cosmos Birthmark,Galaxy Left,Light Warm Yellow,Green Blue Circles,Color Party,Truth Vision Monocle,None,None,64.2103396371305,98
90,Unstoppable,Slightly Open,Rainbow Steel,Butterfly Tamer,Rebel,Emerald Printed Circuit,WoW Tattoo,Flame Straight,Burning Red,Wave,Seeker,AR Glasses,None,None,69.94776203495118,99
91,Rust,Down To Business,Star Diamonds,Fiery Corset,Disruptor,Emerald Printed Circuit,None,Binary Green Eye Roll,Deep Warm Gold,W For WoW,Seeker,Got Attitude,None,None,49.4027264951011,100
92,Blue,Surprised,Geometric Neons,Astrosuit,Talisman,Gems,Green Cleo,Deep Sentient Left,Medium Gold,Yellow Squares,Synthetic Thorns,None,None,None,35.377861808036705,101
93,Passion,Slightly Open,Spines,Cryptography Tunic,Shades Of Red,Gold Plaques,Moon Lava,Golden Cyborg Left,Medium Olive,Purple Blue Spikes,None,None,None,None,14.33209303615402,102
94,Rust,Down To Business,Spiralhani,Neoprene Bodysuit,Shades Of Red,Alu Threads,Eyebrow Stars,Hypnotic Eye Roll,Cyber Green,Orange Lava,Color Party,None,None,None,25.909414874848878,103
95,Blue,Munching,Geometric Neons,Gold Spacesuit,Superior Ponytail,Gems,Child Of Sun,Laser Left,Light Warm Olive,Green Blue Circles,None,AR Glasses,None,None,41.64523055307959,104
96,Rust,Down To Business,None,Neoprene Bodysuit,Fuchsia Spirit,Gold Plaques,Phynx,Deep Sentient Straight,Light Medium Warm Gold,Yellow Green Stripes,Color Party,Queen Of The Desert,None,None,48.71411476088871,106
97,Rust,Little Smile,Levitating Stars,Blazer,Fuchsia Spirit,Gems,Racer Mark,Rainbow Glass Eye Roll,Deep Warm Gold,Pink V,Traveler,None,None,None,36.85468357128618,107
98,Unstoppable,Down To Business,Ancient Knowledge,Ambassador Attire,Might And Pride,Gold Plaques,None,Ice Eye Roll,Light Warm Yellow,Yellow Squares,None,None,None,None,16.123484383683294,108
99,Rust,Little Smile,Spines,Fiery Corset,Might And Pride,Alu Threads,Punktron,Laser Straight,Medium Gold,Yellow Green Stripes,Gem Keeper,None,None,None,27.39691098822763,109
100,Deep Green,Munching,Ancient Knowledge,Fireproof Suit,Synthetic Purple,Gold Plaques,Racer Mark,Rainbow Glass Left,Cyber Green,Green Blue Circles,None,Got Attitude,None,None,56.5094624464729,110
101,Blue,Huh But Gold,Bar Combo,Jungle Guard,Energy,Space Crystals,Unseen Protector,Laser Straight,Cool Blue,Cross,Gem Keeper,Got Attitude,None,None,65.04957373471136,111
102,Unstoppable,Little Smile,None,Neoprene Bodysuit,Street Updo,Steel Force Bindings,Neon Septum,Binary Green Left,Deep Bronze,Orange Lava,Traveler,Queen Of The Desert,None,None,59.97653348761375,112
103,Unstoppable,Alien Gum,Signal Scrambler,Sand Queen,Lava Flow,Emerald Printed Circuit,Smokey Purple,Ice Left,Light Warm Yellow,Orange Lava,Seeker,Positive Vision,None,None,72.90653674279962,113
104,Peachy,Surprised,Spiralhani,New Era Dress,Hypersonic,Alu Threads,None,Flame Straight,Light Medium Warm Gold,Interferences,Creators,None,None,None,33.68322848225397,114
105,Universe,Slightly Open,Lunar Rings,Sand Queen,Disruptor,Gold Plaques,Healing Band,Ice Straight,Medium Olive,Yellow Squares,Mars Metal,None,None,None,38.71333581179174,115
106,Blue,Little Smile,Bar Combo,Sand Queen,Energy,Alu Threads,Blue Bridge,Hypnotic Left,Light Warm Olive,Purple Blue Spikes,Creators,The Groove,None,None,54.378954947067506,116
107,Bicolor,Surprised,Signal Scrambler,Fireproof Suit,Disruptor,Emerald Printed Circuit,Feathers Of Resilience,Hypnotic Eye Roll,Deep Neutral,Orange Lava,Protection Pendant,None,None,None,36.663585774997884,117
108,Rust,Munching,Spiralhani,Blazer,Bald And Bold,Emerald Printed Circuit,Triple Brow Scar,Ice Right,Deep Bronze,Pink V,Rings Of Force,Isil,None,None,59.481628694844545,118
109,Rust,Surprised,Geometric Neons,Fiery Corset,Rebel,Copper Plating,None,Hypnotic Straight,Light Warm Yellow,Green Blue Circles,None,Nomad,None,None,25.452103755320323,119
110,Rust,Munching,Recycled,New Era Dress,Disruptor,Steel Force Bindings,None,Hypnotic Straight,Light Warm Olive,W For WoW,Power of Dhahab,Pilot Goggles,None,None,50.64543406952949,120
111,Blue,Little Smile,Hexa,Streestyle Body,Rebel,Steel Force Bindings,Purple Beauty Piercing,Hypnotic Left,Rainbow Bright,Yellow Green Stripes,Color Party,None,None,None,33.45459178635027,121
112,Bicolor,Kiss,Geometric Neons,Scavenger,Rebel,Copper Plating,Fast Healing Stitches,Ice Right,Deep Warm Gold,Wave,Traveler,None,None,None,43.571240447183094,122
113,Rust,Kiss,None,New Era Dress,Scarlet Power,Emerald Printed Circuit,Child Of Sun,Flame Straight,Rainbow Bright,Green Blue Circles,Protection Pendant,The Groove,None,None,55.45489783909867,123
114,Peachy,Surprised,Balanced Planets,Neoprene Bodysuit,Cyber Mint,Pink Network,Bioluminescent Scar,Flame Straight,Light Medium Warm Gold,Yellow Green Stripes,Color Party,None,None,None,38.22376449710337,124
115,Blue,Huh But Gold,Wave Harnesser,Streestyle Body,Street Updo,Gems,Smokey Purple,Flame Eye Roll,Deep Warm Gold,Green Blue Circles,None,None,None,None,19.773829669145062,125
116,Blue,Little Smile,Ice Shards,Streestyle Body,Might And Pride,Gold Plaques,Eyebrow Stars,Hypnotic Eye Roll,Light Warm Olive,Yellow Green Stripes,Elixir,None,None,None,32.07466491825227,126
117,Unstoppable,Slightly Open,Hexa,Moon Robe,Asymetric Style,Emerald Printed Circuit,Blossoming Tears,Ice Eye Roll,Rainbow Bright,Orange Lava,None,None,None,None,23.310954741241005,127
118,Rust,Slightly Open,Geometric Neons,Blazer,Shades Of Red,Pink Network,Punktron,Flame Right,Light Warm Olive,Cross,None,None,None,None,9.172810812311786,128
119,Passion,Surprised,Geometric Neons,Rebel Harness,Shiny Ice Queen,Gold Plaques,Punktron,Hypnotic Eye Roll,Deep Warm Gold,Yellow Green Stripes,None,The Groove,None,None,37.86050186285857,129
120,Rust,Munching,Bar Combo,Streestyle Body,Superior Ponytail,Emerald Printed Circuit,Child Of Sun,Rainbow Glass Left,Light Warm Olive,Cross,Mars Metal,Truth Vision Monocle,None,None,54.62373245723761,131
121,Blue,Down To Business,None,Rebel Harness,Fuchsia Spirit,Alu Threads,Turquoise,Laser Left,Medium Gold,Pink V,None,None,None,None,9.358253628824038,132
122,Blue,Slightly Open,Recycled,Neon Party Pink,Might And Pride,Space Crystals,Eyebrow Stars,Ice Right,Light Medium Warm Gold,Cross,Mars Metal,None,None,None,32.84936721957982,133
123,Blue,Slightly Open,Star Diamonds,Rebel Harness,Hypersonic,Gems,None,Hypnotic Straight,Medium Olive,Retro Blue,None,None,None,None,9.729464404408457,134
124,Peachy,Surprised,Ancient Knowledge,Sand Queen,Rebel,Emerald Printed Circuit,Cosmos Birthmark,Laser Right,Deep Warm Gold,Orange Lava,Silver Moth,None,None,None,39.57138705106921,135
125,Unstoppable,Little Smile,Lunar Rings,Fireproof Suit,Might And Pride,Gems,Blue Bridge,Binary Green Eye Roll,Light Medium Warm Gold,Pink V,Yela,None,None,None,35.26218336177608,136
126,Unstoppable,Slightly Open,Wave Harnesser,Pilot,Fuchsia Spirit,Copper Plating,Smokey Purple,Hypnotic Left,Medium Olive,Pink V,Creators,Truth Vision Monocle,None,None,63.381864620729566,137
127,Rust,Little Smile,Hexa,Cryptography Tunic,Super Rainbow,Emerald Printed Circuit,Lightning Within,Ice Straight,Medium Gold,Pink V,None,Positive Vision,None,None,37.00524840431576,138
128,Rust,Little Smile,Balanced Planets,New Era Dress,Happy Buns,Space Crystals,Fast Healing Stitches,Laser Straight,Medium Gold,Retro Blue,Elixir,Positive Vision,None,None,52.99907282350487,139
129,Universe,Down To Business,Balanced Planets,Streestyle Body,Talisman,Space Crystals,Heating Power Tattoo,Binary Green Left,Cool Blue,Wave,Synthetic Thorns,Truth Vision Monocle,None,None,70.73586916135028,140
130,Passion,Sandstorm Mask,Spines,Fiery Corset,Lava Flow,Gems,Green Cleo,Ice Straight,Deep Bronze,Green Blue Circles,Color Party,None,None,None,42.688994970651564,141
131,Rust,Munching,None,Fiery Corset,Hypersonic,Steel Force Bindings,Turquoise,Ice Left,Cool Blue,Retro Blue,None,None,None,None,12.416869795868811,142
132,Blue,Munching,Lunar Rings,Neoprene Bodysuit,Super Rainbow,Gems,Phynx,Flame Eye Roll,Cool Blue,Purple Blue Spikes,None,The Groove,None,None,43.49587750043554,143
133,Passion,Slightly Open,Bar Combo,Bomber Jacket,Shiny Ice Queen,Gold Plaques,Phynx,Deep Sentient Straight,Deep Bronze,Wave,None,None,None,None,11.187431926278993,144
134,Rust,Down To Business,Geometric Neons,Neoprene Bodysuit,Yellow Curls,Copper Plating,Blue Bridge,Deep Sentient Left,Light Medium Warm Gold,Purple Blue Spikes,Color Party,None,None,None,24.951809457793402,145
135,Deep Green,Sandstorm Mask,Lunar Rings,Streestyle Body,Energy,Pink Network,Eyebrow Stars,Binary Green Left,Golden,Cross,Protection Pendant,None,None,None,49.18235378933244,146
136,Unstoppable,Alien Gum,Star Diamonds,Rebel Harness,Shades Of Red,Gold Plaques,Fast Healing Stitches,Golden Cyborg Right,Light Warm Yellow,Orange Lava,None,None,None,None,26.008952882345955,147
137,Passion,Slightly Open,Wave Harnesser,Cairys Suit,Scarlet Power,Gold Plaques,Unseen Protector,Hypnotic Left,Medium Olive,W For WoW,None,None,None,None,10.170625684397544,148
138,Blue,Little Smile,None,Ambassador Attire,Fuchsia Spirit,Space Crystals,Feathers Of Resilience,Hypnotic Right,Burning Red,Interferences,None,None,None,None,10.821603387477573,149
139,Deep Green,Surprised,Balanced Planets,Fiery Corset,Might And Pride,Alu Threads,Lightning Within,Ice Left,Medium Gold,Orange Lava,None,None,None,None,23.456325600315427,150
