,item,tattoo,mouth,hair,eyes,skin,body,tail,main,background,mustache,glasses,mask,hat,Rarity score,Token Id
29,None,None,cute sad mouth,realistic,devil eyes,zombie,realistic singlet,stripped tail,main,bg #8,None,sleep band,None,None,49.16742618341591,30
30,None,None,happy mouth,super messy,dark eyes,black,nurse coat,pinky messy tail,main,bg,None,sleep band,None,None,49.07938420698149,31
31,None,None,robot mouth,soft dark,tired eyes,fair,single striped,golden stripped tail,main,bg #10,None,classic glasses,None,None,49.53422241596644,32
32,None,None,weird mouth,realistic,anime eyes,black,golden armor,pointed and messy tail,main,bg #1,None,nerd glasses,None,None,49.72482416055077,33
33,None,None, tied mouth,light grey,dark eyes,zombie,styled body hug,inverted tail,main,bg #10,None,nerd glasses,None,None,48.18445621102535,34
34,None,None,L shaped mouth,realistic,dark eyes,black,doctor coat,robot tail,main,bg #4,None,nerd glasses,None,None,49.03536322654815,35
35,None,None,happy mouth,realistic,chasis eyes,yellow,golden stripped,inverted tail,main,bg #11,None,eye patch,None,None,48.1698752365056,36
36,None,None,big sad mouth,soft dark,crying eyes,white,'hi' text shirt,tail alive,main,bg #7,None,eye patch,None,None,49.1161252355745,37
37,None,None,indecisive,realistic,dark eyes,zombie,golden armor,multi stripped tail,main,bg #10,None,golden glasses,None,None,49.15269144727715,38
38,None,None,sneaky happy mouth,soft dark,mixed eyeballs,white,styled body hug,golden tail,main,bg rainy,None,eye patch,None,None,48.94007394448979,39
39,None,None,weird mouth,realistic,dark eyes,yellow,doctor coat,robot tail,main,bg,None,blind glasses,None,None,48.36787066779412,40
40,None,None,zero shaped mouth,soft dark,sneaky peeky eyes,yellow,pink long sleeve,double tail,main,bg #8,None,sleep band,None,None,49.18939349602687,41
41,None,None,weird mouth,messy,chasis eyes,zombie,golden armor,cactus green stripped tail,main,bg #10,None,eye patch,None,None,48.661318623681424,42
42,None,None,sneaky happy mouth,soft dark,eyeball left,fair,astro suit,realistic tail,main,bg #7,None,eye patch,None,None,49.87897236170748,43
43,None,None,indecisive,light grey,eyeball left,fair,pink long sleeve,tail alive,main,bg #8,None,nerd glasses,None,None,49.16742618294177,44
44,None,None,bored,messy,eyeball left,yellow,red hood dress,golden stripped tail,main,bg rainy,None,sleep band,None,None,48.14051631244344,45
45,None,None,robot mouth,super messy,dark eyes,yellow,golden armor,double tail,main,bg #6,None,nerd glasses,None,None,48.09655536878427,46
46,None,None,big sad mouth,super messy,crying eyes,fair, king jacket,pointed and messy tail,main,bg #9,None,blind glasses,None,None,49.0868116025397,47
47,None,None,super flat mouth,soft dark,crying eyes,black,golden armor,multi stripped tail,main,bg #5,None,eye patch,None,None,49.783545136766726,48
48,None,None,cross shaped mouth,soft dark,devil eyes,yellow,stylish pyjamas,cowboy tail,main,bg #6,None,sleep band,None,None,49.05010112973744,49
49,None,None,big dot,messy,chasis eyes,fair,chest plate,devil tail,main,bg #2,None,golden glasses,None,None,48.95475918907293,50
50,None,None,bored,super messy,anime eyes,black,chest plate,tail alive,main,bg #11,None,golden glasses,None,None,49.18209035581653,51
51,None,None, tied mouth,soft dark,little eyes,zombie,jacket with bow tie,cowboy tail,main,bg #1,None,eye patch,None,None,49.60758019567784,52
52,None,None,flat mouth,realistic,chasis eyes,yellow,golden armor,pinky messy tail,main,bg #7,None,blind glasses,None,None,48.844667774109176,53
53,None,None,big gum,super messy,eyeball left,fair, king jacket,realistic tail,main,bg #3,None,eye patch,None,None,49.31415120360897,54
54,None,None,cute sad mouth,super messy,anime eyes,fair,chest plate,pointed and messy tail,main,bg #5,None,sleep band,None,None,49.12344521377483,55
55,None,None,super flat mouth,realistic,dark eyes,fair,'sad' text shirt,multi stripped tail,main,bg #1,None,blind glasses,None,None,48.976712801584526,56
56,None,None,vampire,messy,tired eyes,white,ash striped,golden tail,main,bg #11,None,classic glasses,None,None,48.69061434281255,57
57,None,None,weird mouth,soft dark,sneaky peeky eyes,fair,styled body hug,pointed and messy tail,main,bg #8,None,classic glasses,None,None,49.43148573196594,58
58,None,None,happy mouth,messy,devil eyes,fair,robotic t-shirt,sandy tail,main,bg,None,eye patch,None,None,48.507318886128175,59
59,None,None,gum,super messy,anime eyes,zombie,red hood dress,double tail,main,bg,None,sleep band,None,None,48.98396435262243,60
60,None,None,bored,messy,slight thunder eyes,zombie,brown singlet,inverted tail,main,bg #9,None,nerd glasses,None,None,48.829997261838734,61
61,None,None,flat mouth,messy,anime eyes,black,'hi' text shirt,devil tail,main,bg #9,None,eye patch,None,None,49.44619941077871,62
62,None,None,O shaped mouth,soft dark,little eyes,zombie,robotic t-shirt,double tail,main,bg #10,None,nerd glasses,None,None,48.903378204474386,63
63,None,None,O shaped mouth,light grey,luminous eyes,zombie,astro suit,stripped tail,main,bg rainy,None,nerd glasses,None,None,48.874029824208336,64
64,None,None,super flat mouth,messy,dark eyes,fair,robotic t-shirt,pointed and messy tail,main,bg #8,None,blind glasses,None,None,48.80073629373201,65
65,None,None,cross shaped mouth,messy,angry thunder eyes,zombie,green striped singlet,devil tail,main,bg #10,None,blind glasses,None,None,48.69798592662234,66
66,None,None,cross shaped mouth,realistic,crying eyes,white,chest plate,suoer pointed tail],main,bg #9,None,classic glasses,None,None,48.87401824337841,67
67,None,None,L shaped mouth,realistic,soft eyes,zombie,body hug,cactus green stripped tail,main,bg #8,None,sleep band,None,None,49.45351413260922,68
68,None,None,zero shaped mouth,realistic,eyeball left,yellow,chest plate,suoer pointed tail],main,bg rainy,None,classic glasses,None,None,48.53664725171276,69
69,None,None,zero shaped mouth,realistic,chasis eyes,white,golden armor,cactus green stripped tail,main,bg #10,None,None,squid game mask,None,50.656208867696265,70
70,None,None,big sad mouth,realistic,sneaky peeky eyes,white,pink long sleeve,thief striped tail,main,bg #4,None,None,cat mask,None,50.656195171864205,71
71,None,None,super happy,super messy,angry thunder eyes,white,classic pyjamas,realistic tail,main,bg #4,None,None,cat mask,None,50.37751039788281,72
72,None,None, tied mouth,super messy,devil eyes,black,single striped,cowboy tail,main,bg #6,None,None,squid game mask,None,51.191706919899026,73
73,None,None,gum,realistic,crying eyes,yellow,green striped singlet,inverted tail,main,bg #10,None,None, corona mask,None,50.7295708544159,74
74,None,None,vampire,soft dark,little eyes,yellow,astro suit,sandy tail,main,bg #3,None,None,squid game mask,None,51.08903973154637,75
75,None,None,flat mouth,messy,anime eyes,fair, red mario coat,cactus green stripped tail,main,bg #9,None,None,squid game mask,None,51.140391221332294,76
76,None,None,cute sad mouth,soft dark,dark eyes,zombie,viking jacket,pointed and messy tail,main,bg #9,None,None, corona mask,None,50.97911891216137,77
77,None,None,big sad mouth,light grey,luminous eyes,black,brown singlet,golden stripped tail,main,bg #8,None,None,cat mask,None,51.38974764174077,78
78,None,None,big dot,soft dark,little eyes,yellow,realistic singlet,suoer pointed tail],main,bg #10,None,None,squid game mask,None,50.34088310668244,79
79,None,None,flat mouth,soft dark,luminous eyes,black, red mario coat,stripped tail,main,bg #9,None,None,cat mask,None,51.54384845298892,80
80,None,None,happy mouth,messy,eyeball left,yellow,robotic suit,stripped tail,main,bg #10,None,None,squid game mask,None,49.99612788647506,81
81,None,None,indecisive,soft dark,soft eyes,white,brown singlet,sandy tail,main,bg #9,None,None, corona mask,None,50.78831813508183,82
82,None,None,zero shaped mouth,soft dark,golden eyes,yellow,stylish pyjamas,stripped tail,main,bg #9,None,None,cat mask,None,50.66360465604751,83
83,None,None,zero shaped mouth,soft dark,devil eyes,fair,golden stripped,pointed and messy tail,main,bg #10,None,None, corona mask,None,51.16243436464044,84
84,None,None,bored,super messy,crying eyes,fair,viking jacket,pointed and messy tail,main,bg #1,None,None, corona mask,None,50.73700456068403,85
85,None,None,zero shaped mouth,super messy,soft eyes,yellow,messy,cowboy tail,main,bg #8,None,None, corona mask,None,50.927720032782986,86
86,None,None,smoking,super messy,golden eyes,black,astro suit,pinky striped tail,main,bg #9,None,None, corona mask,None,50.993694643350295,87
87,None,None,indecisive,soft dark,angry thunder eyes,white,chest plate,thief striped tail,main,bg,None,None,squid game mask,None,50.86167275730462,88
88,None,None,dot,super messy,soft eyes,fair,robotic t-shirt,cactus green stripped tail,main,bg #4,None,None,cat mask,None,50.60498478647952,89
89,None,None,flat mouth,realistic,devil eyes,yellow,golden stripped,golden stripped tail,main,bg #11,None,None,None,horns,45.58093231716073,90
90,None,None,smoking,super messy,little eyes,fair,pink long sleeve,double tail,main,bg #5,None,None,None,astro helmet,46.24840593430211,91
91,None,None,big dot,super messy,sneaky peeky eyes,black,doctor coat,tail alive,main,bg #6,None,None,None,classic chef hat,45.85223498329224,92
92,None,None,gum,light grey,anime eyes,zombie,doctor coat,realistic tail,main,bg #7,None,None,None,luffy hat,46.18972497946764,93
93,None,None,cross shaped mouth,super messy,slight thunder eyes,yellow,squid game suit,pointed and messy tail,main,bg,None,None,None,nurse hat,45.72024364221103,94
94,None,None, tied mouth,super messy,sneaky peeky eyes,fair,'sad' text shirt,tail alive,main,bg #3,None,None,None,green mario hat,45.9622316302925,95
95,None,None,super happy,super messy,sneaky peeky eyes,zombie,styled body hug,stripped tail,main,bg #7,None,None,None,durag (gangster hat),46.13097451910731,96
96,None,None, tied mouth,soft dark,anime eyes,yellow,body hug,pointed and messy tail,main,bg #10,None,None,None,hppdie,45.881653918208656,97
97,None,None,big sad mouth,soft dark,slight thunder eyes,yellow,green mario coat,devil tail,main,bg #4,None,None,None,nurse hat,45.441516747176706,98
98,None,None,sneaky happy mouth,messy,dark eyes,black,classic pyjamas,thief striped tail,main,bg #11,None,None,None,luffy hat,46.497791828265726,99
99,None,None,weird mouth,messy,dark eyes,black,golden armor,thief striped tail,main,bg #3,None,None,None,halo,46.453788746089295,100
100,None,None,sneaky happy mouth,soft dark,dark eyes,white,astro suit,golden tail,main,bg #5,None,None,None,luffy hat,45.69093423807415,101
101,None,None,weird mouth,super messy,tired eyes,fair,green mario coat,golden stripped tail,main,bg rainy,None,None,None,nurse hat,45.52953660040752,102
102,None,None,super happy,light grey,devil eyes,fair,pink long sleeve,pinky messy tail,main,bg #8,None,None,None,baseball helmet,46.37301621081018,103
103,None,None,cute sad mouth,super messy,golden eyes,yellow,body hug,sandy tail,main,bg #1,None,None,None,hppdie,45.126164674047565,104
104,None,None,sneaky happy mouth,super messy,sneaky peeky eyes,zombie,single striped,suoer pointed tail],main,bg rainy,None,None,None,cow boy hat,45.7055394349158,105
105,None,None,cross shaped mouth,soft dark,golden eyes,zombie,realistic singlet,tail alive,main,bg #5,None,None,None,classic chef hat,45.84489604814859,106
106,None,None,O shaped mouth,light grey,sneaky peeky eyes,white,black coat,cactus green stripped tail,main,bg #7,None,None,None,red mario hat,45.778909860623536,107
107,None,None, tied mouth,soft dark,sneaky peeky eyes,zombie,'hi' text shirt,pointed and messy tail,main,bg #3,None,None,None,cow boy hat,46.56376854372008,108
108,None,None,sad mouth,messy,sneaky peeky eyes,black,golden stripped,cowboy tail,main,bg #1,None,None,None,graduation cap,46.61517374273811,109
109,None,None,big gum,messy,angry thunder eyes,yellow,jacket with bow tie,tail alive,main,bg rainy,None,None,None,magic hat,45.15541826762138,110
110,None,None,big gum,super messy,sneaky peeky eyes,zombie,black coat,double tail,main,bg #9,None,None,None,durag (gangster hat),45.59547855527555,111
111,None,None,dot,super messy,crying eyes,zombie,brown singlet,sandy tail,main,bg #6,None,None,None,cow boy hat,45.654223741327584,112
112,None,None,big gum,super messy,angry thunder eyes,yellow,robotic suit,double tail,main,bg #9,None,None,None,durag (gangster hat),44.89139345713579,113
113,None,None,zero shaped mouth,light grey,sneaky peeky eyes,fair,pink long sleeve,golden tail,main,bg rainy,None,None,None,graduation cap,45.90362439352382,114
114,None,None,tongue out,soft dark,sneaky peeky eyes,fair,black coat,suoer pointed tail],main,bg #4,None,None,None,classic chef hat,46.10161035234651,115
115,None,None,sad mouth,super messy,crying eyes,white,realistic singlet,cowboy tail,main,bg #11,None,None,None,warrior helmet,45.580859675877896,116
116,None,None,happy mouth,soft dark,slight thunder eyes,zombie,red hood dress,tail alive,main,bg #8,None,None,None,red mario hat,46.43905505662529,117
117,None,None,robot mouth,light grey,chasis eyes,yellow,'pro' text  long sleeve,realistic tail,main,bg #2,None,None,None,chef hat,45.184798234073966,118
118,None,None,tongue out,soft dark,luminous eyes,fair,robotic suit,inverted tail,main,bg,None,None,None,baseball helmet,46.483092890458316,119
119,None,None,big sad mouth,messy,crying eyes,fair,classic pyjamas,pinky striped tail,main,bg #9,None,None,None,horns,46.02840632603561,120
120,None,None,bored,super messy,little eyes,yellow,chest plate,realistic tail,main,bg rainy,None,None,None,nurse hat,45.31683169328423,121
121,None,None,indecisive,soft dark,luminous eyes,fair,realistic singlet,pinky striped tail,main,bg #10,None,None,None,chef hat,45.984324259466526,122
122,None,None,classic mouth,soft dark,soft eyes,fair,robot,thief striped tail,main,bg #1,None,None,None,durag (gangster hat),46.21905123368521,123
123,None,None,gum,super messy,eyeball left,fair,chest plate,sandy tail,main,bg #8,None,None,None,red mario hat,45.94031697905353,124
124,None,None,big gum,realistic,soft eyes,white,robotic t-shirt,realistic tail,main,bg rainy,None,None,None,cap,45.55164502864114,125
125,None,None,weird mouth,light grey,tired eyes,zombie,black coat,golden tail,main,bg #11,None,None,None,astro helmet,45.507521890617774,126
126,None,None,smoking,realistic,anime eyes,white, king jacket,devil tail,main,bg #8,None,None,None,astro helmet,46.314345792738685,127
127,None,None,gum,light grey,tired eyes,zombie,pink long sleeve,pinky messy tail,main,bg #9,None,None,None,cap,45.95498115279756,128
128,None,None,flat mouth,super messy,chasis eyes,fair,purple striped,pointed and messy tail,main,bg,None,None,None,warrior helmet,45.91102651242004,129
129,None,None,sad mouth,messy,angry thunder eyes,zombie,golden armor,golden stripped tail,main,bg #5,None,None,None,green mario hat,45.94028116159834,130
130,None,None,smoking,realistic,crying eyes,white,black coat,inverted tail,main,bg #11,None,None,None,cow boy hat,45.79353718106392,131
131,None,None, tied mouth,light grey,luminous eyes,black,jacket with bow tie,cactus green stripped tail,main,bg,None,None,None,cow boy hat,46.56378328417227,132
132,None,None,big dot,soft dark,crying eyes,white,robotic t-shirt,thief striped tail,main,bg #11,None,None,None,durag (gangster hat),45.68353843391807,133
133,None,None,gum,realistic,golden eyes,black,green mario coat,stripped tail,main,bg #8,None,None,None,nurse hat,46.431741390320234,134
134,None,None,dot,soft dark,slight thunder eyes,yellow,robotic t-shirt,tail alive,main,bg #2,None,None,None,chef hat,45.61754802958579,135
135,None,None,indecisive,realistic,crying eyes,yellow,'sad' text shirt,realistic tail,main,bg,None,None,None,noel hat,46.21166595886383,136
136,None,None,tongue out,soft dark,little eyes,zombie,golden stripped,cowboy tail,main,bg #2,None,None,None,cap,46.615118983196126,137
137,None,None,L shaped mouth,messy,angry thunder eyes,white,jacket with bow tie,cowboy tail,main,bg #10,None,None,None,astro helmet,45.236080225051076,138
138,None,None,big dot,messy,crying eyes,fair,'hi' text shirt,robot tail,main,bg #4,None,None,None,graduation cap,46.270439597163,139
139,None,eye scar,O shaped mouth,light grey,luminous eyes,zombie,doctor coat,double tail,main,bg #5,None,None,None,None,51.42641178703502,140
140,None,cross,big gum,light grey,dark eyes,yellow,viking jacket,cactus green stripped tail,main,bg #10,None,None,None,None,50.766271856332814,141
141,None,eye scar,gum,realistic,eyeball left,white,'hi' text shirt,tail alive,main,bg #6,None,None,None,None,51.191679552495316,142
142,None,eye scar,robot mouth,soft dark,tired eyes,white,robot,cactus green stripped tail,main,bg #8,None,None,None,None,51.97650242667127,143
143,None,cross,robot mouth,realistic,mixed eyeballs,zombie,styled body hug,inverted tail,main,bg #10,None,None,None,None,51.96911400455541,144
144,None,eye scar,vampire,realistic,golden eyes,zombie,golden armor,pinky striped tail,main,bg #4,None,None,None,None,51.63906192655586,145
145,None,eye scar,happy mouth,messy,anime eyes,white,mock neck,thief striped tail,main,bg #7,None,None,None,None,51.595073596843285,146
146,None,cross,sneaky happy mouth,realistic,dark eyes,zombie,'sad' text shirt,realistic tail,main,bg #4,None,None,None,None,52.00586975811188,147
147,None,eye scar,cute sad mouth,super messy,anime eyes,white,jacket with bow tie,pinky messy tail,main,bg,None,None,None,None,51.411677047498216,148
148,None,eye scar,happy mouth,light grey,soft eyes,fair,robotic t-shirt,thief striped tail,main,bg #2,None,None,None,None,51.243100536190546,149
149,None,eye scar,dot,light grey,chasis eyes,yellow,realistic singlet,cactus green stripped tail,main,bg #3,None,None,None,None,51.00835355977622,150
150,None,cross,dot,realistic,angry thunder eyes,black,golden armor,robot tail,main,bg rainy,None,None,None,None,52.189167308303816,151
151,None,cross,zero shaped mouth,messy,eyeball left,white,squid game suit,stripped tail,main,bg #10,None,None,None,None,50.97895358132899,152
152,None,eye scar,big sad mouth,super messy,mixed eyeballs,white,styled body hug,suoer pointed tail],main,bg #10,None,None,None,None,50.77355181149215,153
153,None,cross,robot mouth,messy,luminous eyes,black,squid game suit,tail alive,main,bg rainy,None,None,None,None,52.02053498603796,154
154,None,cross,big dot,messy,golden eyes,black,robotic t-shirt,double tail,main,bg #11,None,None,None,None,51.66847979812342,155
155,None,cross,super flat mouth,soft dark,golden eyes,zombie,robotic t-shirt,inverted tail,main,bg #1,None,None,None,None,51.316334060079924,156
156,None,cross,weird mouth,messy,sneaky peeky eyes,fair,messy,pointed and messy tail,main,bg #10,None,None,None,None,51.60251467242873,157
157,None,cross,vampire,soft dark,golden eyes,white,black coat,devil tail,main,bg #2,None,None,None,None,51.27956355548202,158
158,None,cross,sad mouth,soft dark,angry thunder eyes,yellow,'hi' text shirt,golden tail,main,bg #4,None,None,None,None,51.36040242820915,159
159,None,None,super flat mouth,light grey,anime eyes,white, king jacket,pointed and messy tail,main,bg #11,None,None,None,None,1.1150487204154989,160
160,None,None,big sad mouth,messy,chasis eyes,fair,messy,robot tail,main,bg #8,None,None,None,None,1.5918921626151141,161
161,None,None,O shaped mouth,light grey,dark eyes,white,red hood dress,golden tail,main,bg #3,None,None,None,None,0.8876543697612913,162
162,None,None,bored,super messy,dark eyes,white,golden armor,pinky striped tail,main,bg #4,None,None,None,None,0.40349727010732955,163
163,None,None,flat mouth,soft dark,devil eyes,fair,'pro' text  long sleeve,pinky striped tail,main,bg #3,None,None,None,None,1.6579436524509557,164
164,None,None,big sad mouth,super messy,soft eyes,fair,classic pyjamas,inverted tail,main,bg #1,None,None,None,None,1.357185199995956,165
165,None,None,super happy,light grey,chasis eyes,black,'pro' text  long sleeve,double tail,main,bg #6,None,None,None,None,1.5184996296666375,166
166,None,None,flat mouth,realistic,anime eyes,fair,squid game suit,suoer pointed tail],main,bg #9,None,None,None,None,1.6432289052317879,167
167,None,None,cute sad mouth,super messy,soft eyes,black,red hood dress,suoer pointed tail],main,bg #3,None,None,None,None,1.8560391328073595,168
168,None,None,robot mouth,light grey,slight thunder eyes,zombie,green mario coat,pinky striped tail,main,bg #11,None,None,None,None,1.1077055630119503,169
169,None,None,gum,messy,soft eyes,white,green striped singlet,thief striped tail,main,bg rainy,None,None,None,None,1.1810865164739064,170
170,None,None,L shaped mouth,super messy,devil eyes,white,green mario coat,cactus green stripped tail,main,bg #8,None,None,None,None,0.7042093705568423,171
171,None,None,gum,realistic,mixed eyeballs,fair,messy,robot tail,main,bg #10,None,None,None,None,2.1053702535578185,172
172,None,None,indecisive,realistic,eyeball left,yellow,green striped singlet,pinky striped tail,main,bg #5,None,None,None,None,1.2690105178460798,173
173,None,None,super happy,realistic,chasis eyes,fair,viking jacket,cowboy tail,main,bg #1,None,None,None,None,2.0320461828584837,174
174,None,None,dot,messy,luminous eyes,yellow,golden stripped,pointed and messy tail,main,bg #1,None,None,None,None,1.03439518838175,175
175,None,None,cute sad mouth,light grey,luminous eyes,zombie,pink long sleeve,devil tail,main,bg #4,None,None,None,None,1.4011556285277402,176
176,None,None,cute sad mouth,soft dark,angry thunder eyes,white, red mario coat,double tail,main,bg,None,None,None,None,1.2397242854841513,177
177,None,None,flat mouth,light grey,eyeball left,yellow,ash striped,cactus green stripped tail,main,bg #2,None,None,None,None,0.953663726690576,178
178,None,None,weird mouth,realistic,soft eyes,white,robotic t-shirt,suoer pointed tail],main,bg #6,None,None,None,None,0.48409497435074955,179
179,None,None,super happy,soft dark,anime eyes,white,black coat,golden stripped tail,main,bg #5,None,None,None,None,1.7385613734304668,180
180,None,None,tongue out,messy,little eyes,zombie,green striped singlet,sandy tail,main,bg #4,None,None,None,None,1.5845384810924588,181
181,None,None,vampire,super messy,chasis eyes,fair,chest plate,double tail,main,bg rainy,None,None,None,None,1.3351799814007632,182
182,None,None,cute sad mouth,realistic,mixed eyeballs,zombie,robotic suit,pointed and messy tail,main,bg #8,None,None,None,None,2.325470969894726,183
183,None,None,tongue out,soft dark,little eyes,white,green striped singlet,robot tail,main,bg #11,None,None,None,None,1.5478511735061509,184
184,None,None,happy mouth,realistic,crying eyes,yellow,viking jacket,cactus green stripped tail,main,bg #8,None,None,None,None,1.555146926934837,185
185,None,None,big dot,super messy,soft eyes,fair,golden stripped,robot tail,main,bg #4,None,None,None,None,1.3571304305759582,186
186,None,None,smoking,soft dark,mixed eyeballs,zombie,robot,inverted tail,main,bg #8,None,None,None,None,2.4061392438821256,187
187,None,None,tongue out,realistic,devil eyes,white,'pro' text  long sleeve,devil tail,main,bg #6,None,None,None,None,0.9022290273282237,188
188,None,None,super happy,light grey,devil eyes,black,red hood dress,pinky messy tail,main,bg #4,None,None,None,None,1.870672775732254,189
189,None,None, tied mouth,realistic,little eyes,zombie,jacket with bow tie,cowboy tail,main,bg #1,None,None,None,None,2.1494059857437975,190
190,None,None,robot mouth,messy,golden eyes,white,robotic t-shirt,tail alive,main,bg,None,None,None,None,0.6455210455357916,191
191,None,None,super happy,messy,angry thunder eyes,zombie, red mario coat,pinky striped tail,main,bg #4,None,None,None,None,1.2030917480290586,192
192,None,None,weird mouth,realistic,soft eyes,fair,green mario coat,robot tail,main,bg #4,None,None,None,None,1.3644472486798795,193
193,None,None,tongue out,soft dark,soft eyes,white,'sad' text shirt,pointed and messy tail,main,bg #4,None,None,None,None,1.4084893043776847,194
194,None,None,flat mouth,soft dark,mixed eyeballs,white,styled body hug,thief striped tail,main,bg #5,None,None,None,None,1.5771974394812822,195
195,None,None,super flat mouth,messy,dark eyes,black,jacket with bow tie,double tail,main,bg #8,None,None,None,None,2.0834619356296735,196
196,None,None,bored,light grey,angry thunder eyes,zombie,squid game suit,double tail,main,bg #8,None,None,None,None,1.041665662066502,197
197,None,None, tied mouth,realistic,angry thunder eyes,fair,purple striped,cactus green stripped tail,main,bg #10,None,None,None,None,1.6798719869571437,198
198,None,None,zero shaped mouth,super messy,soft eyes,zombie,pink long sleeve,sandy tail,main,bg rainy,None,None,None,None,1.3425283891682922,199
199,None,None,happy mouth,light grey,tired eyes,white,green mario coat,pinky messy tail,main,bg rainy,None,None,None,None,0.48418239401736207,200
200,None,None,happy mouth,light grey,sneaky peeky eyes,zombie,golden stripped,double tail,main,bg #5,None,None,None,None,1.1296718297383899,201
201,None,None,dot,light grey,soft eyes,yellow,messy,cowboy tail,main,bg #1,None,None,None,None,1.2251053951811661,202
202,None,None,zero shaped mouth,soft dark,soft eyes,fair,single striped,devil tail,main,bg #4,None,None,None,None,1.951373690720444,203
203,None,None,sad mouth,super messy,anime eyes,black,robotic suit,pinky striped tail,main,bg #4,None,None,None,None,1.7972760302438513,204
204,None,None,L shaped mouth,soft dark,angry thunder eyes,black,body hug,pinky messy tail,main,bg rainy,None,None,None,None,1.9072842482750394,205
205,None,None,happy mouth,soft dark,slight thunder eyes,black,green mario coat,double tail,main,bg #2,None,None,None,None,2.08333974660506,206
