,Background,Revamped,Clothes,Tattoo,Shape,Mask,Item,Hair,Base,Aura,Hat,Experience,Level,Rarity score,Token Id
30,Japanese Motif - Blue,False,Shirt - Sevens Block,None,Minimal Frame,Sevens Japanese Mask,Gold Pipe,Red,Espresso,Night,Beanie - Painted,None,None,22.445943114620114,30
31,Bananaz!,False,Hoodie - Painted,Black Flames,Minimal Frame,Fox Mask - Emoticon,None,Black,Espresso,Night,Rice Hat - White,None,None,25.317514318532147,31
32,Japanese Motif - Blue,False,Shirt 7 - White,Heart 7,Circle Frame,Akuma Half Mask - Black,None,Red,Golden,Light,Rice Hat - Sunflower,None,None,29.29692612774812,32
33,Bananaz!,False,Shirt - Japanese Black,Seven,Circle Frame,Kintsugi Skull,Red Katana,Red,Golden,Night,Hat - HERO hat,None,None,36.320553654416635,33
34,Red,False,Sweater - Kintsugi,None,Square Frame,Lion - Fire Breath,None,Red,Porcelain,None,Beanie - Black,None,None,9.90653714085676,34
35,Japanese Motif - Yellow,False,Bomber - White and Blue,None,Square Frame,Fox Mask - LED Scarred,Maple Branch,Red,Espresso,No Aura Plain,Bucket Hat Black,None,None,29.586608118186607,35
36,Night Sky,True,Kimono - Blue Green,Greek Letters,Minimal Frame,Red-eyed Owl,None,White,Beige,Night,Bucket Hat White Kumo Motif,None,None,37.83376095372144,36
37,Pixel - Piano in a Sea,True,Hoodie - One Shoulder Fire,Seven,Minimal Frame,Full Face Mask - Red Stop,Metal Pipe,Red,Beige,Light,Beanie - Aqua,None,None,56.377991861409896,37
38,Shooting Stars,True,Shirt - Isekai Postal,None,Minimal Frame,Full Mask,Red Katana,Red,Golden,Night,Straw Hat,None,None,35.67408688361597,38
39,Pixel - Day on an Island,True,Monk,Seven,Minimal Frame,Mascot - UwU cat,None,Red,Golden,None,None,None,None,30.18996057263621,39
40,Shooting Stars,False,Shirt 7 - White,None,Square Frame,Kintsugi Skull,None,Red,Porcelain,None,Bucket Hat Painted,None,None,8.696665081281887,40
41,Night Sky,True,Bomber - Black,Crossed Out,Minimal Frame,Mascot - Shiba Inu,Red Space Fork,Red,Beige,None,None,None,None,41.2184750110742,41
42,Pixel - Piano in a Sea,False,Hoodie - Fire Heart,None,Circle Frame,Demon Fire Mask,Yellow Katana,Yellow,Porcelain,None,Bucket Hat Black SH777SH,None,None,23.914488471522347,42
43,Colorful Clouds,True,Shirt 7 - Black,Flame,Minimal Frame,Full Mask,None,White,Golden,Light,Hat - Painted,None,None,42.646850918817385,43
44,Japanese Motif - Yellow,True,Hoodie - Fire Heart,None,Square Frame,Akuma Half Mask - White,None,White,Espresso,None,Bucket Hat White,None,None,23.64923639607703,44
45,Night Sky,False,Bomber - Black,None,Circle Frame,Petrified Skull,Dark Chef Knife,Yellow,Beige,Night,Hat - Emoticon White,None,None,21.785040202600257,45
46,Japanese Motif - Pink,False,Bomber - Black,Crossed Out,Circle Frame,Petrified Demon Mask,None,White,Golden,Light,Hat - 7 Wave,None,None,28.36678434531514,46
47,Japanese Motif - Yellow,True,Shirt 7 - Black,None,Square Frame,Hype Black Mask,Yellow Katana,Black,Golden,No Aura Plain,Bucket Hat White Kumo Motif,None,None,39.84645781539547,47
48,Night Sky,False,Hoodie - Sunflowers,Emoticon,Square Frame,Kintsugi Skull,Red Scythe,Yellow,Golden,Night,Hat - 7 Black,None,None,37.692634726232455,48
49,Red,False,Sweater - Kintsugi,None,Minimal Frame,Lion - Fire Breath,Chef Knife,White,Beige,Light,Beanie - Orange,None,None,28.51429743038196,49
50,Shooting Stars,True,Monk,None,Circle Frame,Beak Mask - Metal,Banana,Red,Espresso,None,Bucket Hat Official,None,None,36.26879980125579,50
51,Bananaz!,False,Hoodie - One Shoulder Fire,None,Circle Frame,Game Helmet - Shiba Inu,Yellow Katana,White,Beige,None,None,None,None,15.578865970964884,51
52,Japanese Motif - Blue,False,Shirt - Isekai Postal,None,Square Frame,Full Face Mask - X,None,White,Porcelain,None,Beanie - Yellow,None,None,10.313093985591838,52
53,Night Sky,False,Bomber - Black,None,Minimal Frame,Kaiju Mecha Mask - 07,Metal Monkey Staff,Black,Porcelain,Night,Hat - Painted,None,None,21.86636914570144,53
54,Pixel - Day on an Island,False,Shirt 7 - Black,Heart 7,Square Frame,Red-eyed Owl,None,Yellow,Golden,Light,Bucket Hat Akuma,None,None,29.850775986807115,54
55,Japanese Motif - Blue,True,Kimono - Sunflower,None,Minimal Frame,Red-eyed Owl,None,Red,Golden,Night,Beanie - Gray,None,None,23.02419821809677,55
56,Japanese Motif - Pink,False,Kimono - Sunflower,None,Square Frame,Fox Mask - Emoticon,Maple Branch,Red,Porcelain,No Aura Plain,Beanie - Aqua,None,None,29.789924319210453,56
57,Night Sky,False,Shirt 7 - White,None,Square Frame,Akuma Half Mask - Black,Maple Branch,Orange-Red,Golden,Night,Bucket Hat Akuma,None,None,21.69336363615475,57
58,Japanese Motif - Blue,False,Shirt 7 - Black,None,Minimal Frame,Painted Owl mask,None,White,Beige,None,Hat - Emoticon Black,None,None,8.539247457861572,58
59,Japanese Motif - Yellow,True,Sweater - Cherry Blossoms,Crossed Out,Circle Frame,Mecha Bird - Red-Eyed Crow,Banana,Black,Porcelain,No Aura Plain,None,None,None,48.95857984998499,59
60,Night Sky,False,Lab Coat,Seven,Square Frame,Red-eyed Owl,Gold Katana,Red,Beige,None,Beanie - Orange,None,None,36.96588538006722,60
61,Japanese Motif - Yellow,False,Shirt - Pixel,Emoticon,Minimal Frame,Painted Lion Mask,Metal Monkey Staff,Red,Beige,Light,Beanie - Gray,None,None,43.27295941252466,61
62,Painted Brush,True,Hoodie - Sunflowers,None,Minimal Frame,Painted Lion Mask,None,Orange-Red,Beige,Light,Bucket Hat Akuma,None,None,29.209254521424604,62
63,Bananaz!,True,Shirt 7 - White,None,Minimal Frame,Scarred Skull,None,Black,Beige,Light,Hat - 7 Black,None,None,27.079849082263635,63
64,Colorful Clouds,False,Shirt - Japanese Black,None,Square Frame,Kaiju Mecha Mask - 07,Chef Knife,Orange-Red,Porcelain,Light,None,None,None,22.00349105010389,64
65,Red,True,Hoodie - Emoticon,Sakura Petal,Circle Frame,Petrified Skull,None,Black,Espresso,None,Bucket Hat White,None,None,37.005822619992976,65
66,Pixel - Piano in a Sea,True,Sweater - One Shoulder Blue Demon,Flame,Circle Frame,Painted Owl mask,None,Yellow,Espresso,Light,Hat - HERO hat,None,None,44.0140025571079,66
67,Painted Brush,True,Shirt 7 - White,None,Circle Frame,Mascot - UwU cat,Dark Chef Knife,Black,Beige,Night,None,None,None,26.657776999308048,67
68,Night Sky,True,Hoodie - One Shoulder Yin Yang,None,Circle Frame,Motorcycle Helmet - Roughed,Red Monkey Staff,Red,Porcelain,Night,None,None,None,28.746832096054213,68
69,Light Blue,True,Bomber - White and Blue,None,Minimal Frame,Scarred Skull,None,Red,Porcelain,No Aura Plain,Bucket Hat Painted,None,None,28.685833734450533,69
70,Light Blue,True,Sweater - One Shoulder Red Demon,Crossed Out,Minimal Frame,Kintsugi Skull,None,Red,Porcelain,None,Hat - Painted,None,None,36.649809783302615,70
71,Japanese Motif - Yellow,True,Kimono - Blue Green,None,Minimal Frame,Petrified Skull,None,Orange-Red,Porcelain,Light,Hat - Emoticon Black,None,None,28.914529044847733,71
72,Bananaz!,False,Shirt - Sevens Block,Black Flames,Square Frame,Beak Mask - Darkened,None,Yellow,Porcelain,None,Bucket Hat Yellow,None,None,23.97033373676703,72
73,Red,False,Shirt - Sevens Block,Star,Square Frame,Mascot - Shiba Inu,None,Yellow,Espresso,None,None,None,None,16.80371070289339,73
74,Japanese Motif - Yellow,False,Monk,None,Square Frame,Scarred Skull,Red Katana,Yellow,Golden,No Aura Plain,Hat - Emoticon Black,None,None,28.935945335926018,74
75,Shooting Stars,False,Shirt - Taped Banana,None,Square Frame,Sevens Japanese Mask,None,Red,Porcelain,Night,Straw Hat,None,None,8.778400768123133,75
76,Bananaz!,False,Sweater - Cherry Blossoms,Heart 7,Square Frame,Mascot - Shiba Inu,Banana,Yellow,Espresso,Light,None,None,None,36.650829312210995,76
77,Painted Brush,False,Shirt 7 - Black,None,Square Frame,Sevens Japanese Mask,Gold Chef Knife,Red,Golden,Night,Beanie - White,None,None,20.793834710287143,77
78,Painted Brush,False,Shirt - Sevens Block,None,Circle Frame,Mascot - UwU cat,None,Yellow,Beige,None,None,None,None,1.3161072155455864,78
79,Light Blue,False,Hoodie - Painted,None,Square Frame,Kaiju Mecha Mask - 07,None,Black,Beige,No Aura Plain,Hat - Emoticon White,0.0,1.0,59.19074559385676,79
80,Painted Brush,False,Shirt - Isekai Postal,None,Minimal Frame,Motorcycle Helmet - Black,Banana,Black,Espresso,Light,None,None,None,20.676877798340957,80
81,Light Blue,False,Shirt - Sevens Block,Emoticon,Square Frame,Red-eyed Owl,Dark Chef Knife,Orange-Red,Beige,No Aura Plain,Bucket Hat Black,None,None,42.30217171599129,81
82,Painted Brush,False,Hoodie - Sunflowers,Emoticon,Circle Frame,Scarred Skull,None,White,Beige,None,Rice Hat - Sunflower,None,None,23.09622602927251,82
83,Red,False,Shirt - Sevens Block,Emoticon,Square Frame,Motorcycle Helmet - Black,None,White,Golden,None,None,None,None,15.802355887691421,83
84,Red,False,Shirt - Painted Tee,Star,Minimal Frame,Akuma Half Mask - White,None,Orange-Red,Beige,No Aura Plain,Bucket Hat Akuma,None,None,31.2230516447975,84
85,Shooting Stars,True,Hoodie - One Shoulder Lotus,Crossed Out,Minimal Frame,Mascot - UwU cat,None,Yellow,Porcelain,Night,None,None,None,28.421297718082606,85
86,Japanese Motif - Yellow,False,Shirt - Sevens Block,Emoticon,Minimal Frame,Lightning Mask,None,Yellow,Beige,No Aura Plain,Bucket Hat Yellow,None,None,29.99817063301724,86
87,Japanese Motif - Pink,False,Shirt - Sevens Block,None,Square Frame,Lightning Mask,None,Red,Golden,None,Rice Hat - White,None,None,10.099600889876037,87
88,Pixel - Day on an Island,True,Hoodie - Fire Heart,None,Minimal Frame,Elder Skull,Sakura Branch,Yellow,Beige,Light,Bucket Hat Akuma,None,None,43.59719761461364,88
89,Japanese Motif - Yellow,False,Kimono - Blue Green,Heart 7,Square Frame,Motorcycle Helmet - Black,None,Black,Porcelain,Night,None,None,None,17.673040068553018,89
90,Light Blue,False,Sweater - Black and Orange,None,Circle Frame,Motorcycle Helmet - Black,None,Orange-Red,Beige,Night,None,None,None,2.4549935882415506,90
91,Red,False,Kimono - Blue Green,None,Circle Frame,Beak Mask - Metal,None,Yellow,Beige,No Aura Plain,Bucket Hat White,None,None,15.640130877554249,91
92,Red,False,Shirt - Pixel,None,Square Frame,Painted Lion Mask,Metal Monkey Staff,Red,Beige,No Aura Plain,Beanie - Yellow,None,None,29.144408068920157,92
93,Light Blue,True,Lab Coat,Star,Circle Frame,Beak Mask - Darkened,None,Orange-Red,Porcelain,No Aura Plain,Hat - 7 White,None,None,44.37971227975937,93
94,Painted Brush,False,Bomber - Black,None,Square Frame,Scarred Skull,Red Space Fork,White,Espresso,Night,Bucket Hat Red Kumo Motif,None,None,21.429324389286926,94
95,Japanese Motif - Yellow,False,Shirt 7 - White,None,Minimal Frame,Mascot - Shiba Inu,None,Orange-Red,Porcelain,No Aura Plain,None,None,None,7.6445556536822945,95
96,Shooting Stars,True,Kimono - Eth Checkered,None,Circle Frame,Elder Skull,None,Red,Espresso,Night,Straw Hat,None,None,23.59849197591512,96
97,Bananaz!,True,Hoodie - Tongue,None,Minimal Frame,Mascot - Joyful cat,Banana,Red,Porcelain,None,None,None,None,29.671922406774737,97
98,Painted Brush,False,Kimono - Sunflower,Star,Circle Frame,Mascot - UwU cat,None,Yellow,Porcelain,Light,None,None,None,22.19646250497088,98
99,Painted Brush,False,Shirt 7 - White,None,Minimal Frame,Kaiju Mecha Mask - Black,Red Scythe,Orange-Red,Espresso,Light,Bucket Hat Yellow,None,None,27.182673483586463,99
100,Japanese Motif - Yellow,False,Hoodie - Sunflowers,None,Square Frame,Fox Mask - Scarred,None,Red,Beige,Night,Rice Hat - Sunflower,None,None,10.20672947461725,100
101,Shooting Stars,False,Shirt - Sevens Block,None,Minimal Frame,Motorcycle Helmet - Roughed,None,White,Porcelain,Night,None,None,None,1.9061646973029862,101
102,Shooting Stars,True,Sweater - Space,None,Circle Frame,Full Mask,None,White,Golden,None,Hat - Emoticon White,None,None,23.522071335187317,102
103,Colorful Clouds,False,Sweater - Cherry Blossoms,Black Flames,Square Frame,Lion - Fire Mustache,Red Katana,Red,Beige,None,Bucket Hat Red SH777SH,None,None,38.59738862464955,103
104,Pixel - Piano in a Sea,False,Shirt - Taped Banana,Emoticon,Minimal Frame,Golden Chain Skull,Banana,Yellow,Beige,None,None,None,None,31.23300488980874,104
105,Light Blue,False,Lab Coat,None,Minimal Frame,Motorcycle Helmet - Roughed,Red Katana,Orange-Red,Golden,Night,None,None,None,14.908132606870073,105
106,Shooting Stars,False,Shirt 7 - White,None,Square Frame,Red-eyed Owl,None,Red,Porcelain,None,Straw Hat,None,None,7.888487312189449,106
107,Night Sky,False,Sweater - Cherry Blossoms,None,Minimal Frame,Lightning Mask,None,White,Beige,Night,Bucket Hat Red SH777SH,None,None,10.028689982902113,107
108,Bananaz!,False,Shirt - Taped Banana,None,Minimal Frame,Beak Mask - Gold,Banana,Black,Espresso,No Aura Plain,None,None,None,22.893002068352136,108
109,Night Sky,False,Sweater - Kintsugi,Attached Diamonds,Minimal Frame,Scarred Skull,None,Orange-Red,Beige,Night,Rice Hat - Sunflower,None,None,23.787384439038302,109
110,Japanese Motif - Yellow,False,Bomber - White and Blue,None,Circle Frame,Hype Black Mask,Red Scythe,Orange-Red,Beige,Night,Bucket Hat Red SH777SH,None,None,23.081132808168917,110
111,Light Blue,False,Sweater - Cherry Blossoms,None,Minimal Frame,Sevens Japanese Mask,Red Scythe,Red,Golden,No Aura Plain,Bucket Hat Akuma,None,None,27.84832203282454,111
112,Japanese Motif - Pink,True,Bomber - Black,None,Square Frame,Hype Black Mask,Banana,Black,Porcelain,No Aura Plain,Bucket Hat White Kumo Motif,None,None,41.07652245276953,112
113,Night Sky,True,Hoodie - One Shoulder Yin Yang,None,Square Frame,Motorcycle Helmet - Black,None,Yellow,Espresso,Night,None,None,None,15.740467147925138,113
114,Red,False,Kimono - Sunflower,None,Circle Frame,Full Face Mask - X,None,Orange-Red,Golden,No Aura Plain,Beanie - White,None,None,16.138176164709392,114
115,Pixel - Day on an Island,False,Sweater - One Shoulder Red Demon,None,Minimal Frame,Fox Mask - Scarred,None,Orange-Red,Espresso,None,Beanie - Orange,None,None,11.532992579650976,115
116,Light Blue,True,Hoodie - One Shoulder Lotus,None,Square Frame,Full Face Mask - Double Line,Chef Knife,Red,Golden,None,Beanie - White,None,None,35.93846240103667,116
117,Bananaz!,True,Sweater - Cherry Blossoms,None,Minimal Frame,Mascot - Shiba Inu,None,Black,Porcelain,No Aura Plain,None,None,None,22.530791753832432,117
118,Colorful Clouds,True,Shirt - Pixel,Flame,Square Frame,LED Japanese Mask,Yellow Katana,Orange-Red,Beige,Night,Bucket Hat White,None,None,51.00145463531999,118
119,Light Blue,False,Lab Coat,Seven,Square Frame,Emoticon Owl,Dark Katana,Red,Espresso,No Aura Plain,Beanie - Painted,None,None,43.08485412052524,119
120,Painted Brush,True,Kimono - Blue Green,None,Circle Frame,Mecha Bird - Red-Eyed Crow,Chef Knife,White,Porcelain,Night,None,None,None,29.006142408942587,120
121,Bananaz!,False,Shirt - Pixel,Greek Letters,Square Frame,Hype Black Mask,Red Space Fork,Red,Beige,No Aura Plain,Rice Hat - Package,None,None,44.88898445757695,121
122,Japanese Motif - Pink,False,Kimono - Eth Checkered,None,Minimal Frame,Petrified Skull,None,White,Beige,Light,Rice Hat - Blue,None,None,16.331393892112057,122
123,Japanese Motif - Pink,False,Shirt - Painted Tee,None,Circle Frame,Kaiju Mecha Mask - White,None,Orange-Red,Espresso,None,Hat - 7 Black,None,None,10.633445518582619,123
124,Pixel - Day on an Island,False,Sweater - One Shoulder Cherry Blossoms,None,Circle Frame,Sevens Japanese Mask,Red Space Fork,Yellow,Golden,None,Beanie - Orange,None,None,23.39600074724694,124
125,Shooting Stars,True,Shirt - Japanese Black,Heart 7,Circle Frame,Hype Black Mask,Red Monkey Staff,White,Golden,Night,Bucket Hat Akuma,None,None,50.08142083865729,125
126,Red,True,Kimono - Blue Green,None,Square Frame,Fox Mask - LED Scarred,Red Scythe,Orange-Red,Beige,Light,Beanie - Yellow,None,None,41.87443325078756,126
127,Bananaz!,True,Shirt - Taped Banana,Constellation,Minimal Frame,Painted Black Mask,None,Red,Porcelain,None,Bucket Hat Black,None,None,38.00170188532624,127
128,Pixel - Day on an Island,False,Shirt 7 - White,Sakura Petal,Square Frame,Full Face Mask - Double Line,Yellow Katana,Orange-Red,Espresso,Light,Rice Hat - Kintsugi,None,None,42.439507112931786,128
129,Painted Brush,True,Shirt - Japanese Black,Emoticon,Square Frame,Mascot - UwU cat,Red Space Fork,Orange-Red,Espresso,Light,None,None,None,47.69293883352445,129
130,Painted Brush,False,Hoodie - Sunflowers,Black Flames,Square Frame,Sevens Japanese Mask,None,Black,Golden,None,Beanie - Aqua,None,None,23.02486773368478,130
131,Night Sky,False,Shirt 7 - White,None,Square Frame,Motorcycle Helmet - White,Yellow Katana,Yellow,Golden,Night,None,None,None,13.774452370325143,131
132,Light Blue,False,Shirt 7 - White,Sakura Petal,Square Frame,Kaiju Mecha Mask - White,Black Scythe,Yellow,Beige,Light,Rice Hat - Shadow,None,None,41.21972692341,132
133,Japanese Motif - Blue,False,Sweater - Kintsugi,None,Circle Frame,Lion - Fire Mustache,None,Black,Espresso,None,Bucket Hat Black,None,None,10.394608141543243,133
134,Painted Brush,True,Sweater - Space,None,Square Frame,Painted Black Mask,None,Red,Beige,Light,Bucket Hat Red SH777SH,None,None,29.214579036525475,134
135,Pixel - Piano in a Sea,False,Shirt - Taped Banana,None,Square Frame,Akuma Half Mask - Black,Red Monkey Staff,Black,Porcelain,Light,Bucket Hat Black,None,None,29.291778823620334,135
136,Colorful Clouds,False,Shirt - Japanese Black,None,Square Frame,Fox Mask - Emoticon,None,Orange-Red,Beige,Night,Bucket Hat Black SH777SH,None,None,11.106257665133615,136
137,Painted Brush,True,Sweater - One Shoulder Red Demon,Greek Letters,Minimal Frame,Game Helmet - Silhouette,Maple Branch,Red,Espresso,None,None,None,None,44.2578201502911,137
138,Light Blue,True,Bomber - White and Blue,None,Minimal Frame,Hype Black Mask,Black Scythe,Yellow,Porcelain,None,Bucket Hat White Kumo Motif,None,None,35.298039703273595,138
139,Painted Brush,True,Shirt 7 - Black,None,Square Frame,Motorcycle Helmet - Black,Chef Knife,Orange-Red,Golden,Light,None,None,None,32.121332234780205,139
140,Light Blue,False,Sweater - Cherry Blossoms,Star,Square Frame,Sevens Japanese Mask,Gold Pipe,Orange-Red,Espresso,Night,Beanie - Painted,None,None,37.18458971882852,140
141,Japanese Motif - Yellow,False,Hoodie - Tongue,None,Square Frame,Sevens Japanese Mask,Black Scythe,Black,Golden,None,Beanie - Gray,0.0,1.0,64.76529129675814,141
142,Red,True,Monk,None,Minimal Frame,Fox Mask - LED Scarred,Dark Chef Knife,Red,Golden,Light,Beanie - Black,None,None,42.260692892262455,142
143,Red,True,Sweater - Black and Orange,Sakura Petal,Minimal Frame,Akuma Half Mask - Black,Yellow Katana,Red,Beige,No Aura Plain,Bucket Hat Official,None,None,56.49490080834975,143
144,Bananaz!,False,Hoodie - Emoticon,Crossed Out,Circle Frame,Scarred Skull,Red Katana,Black,Beige,None,Bucket Hat White,None,None,35.40081104396962,144
145,Sakura Tree,True,Monk,Greek Letters,Minimal Frame,Game Helmet - Shiba Inu,None,Yellow,Golden,Night,None,None,None,34.4034227590225,145
146,Japanese Motif - Blue,True,Sweater - Black and Orange,None,Circle Frame,Mascot - Joyful cat,Sakura Branch,White,Espresso,No Aura Plain,None,None,None,36.548366625058286,146
147,Japanese Motif - Pink,True,Hoodie - One Shoulder Fire,Seven,Circle Frame,Motorcycle Helmet - Roughed,Red Monkey Staff,Orange-Red,Beige,No Aura Plain,None,None,None,48.7246079860116,147
148,Colorful Clouds,True,Kimono - Sunflower,Crossed Out,Square Frame,Painted Black Mask,Maple Branch,Yellow,Porcelain,Night,Bucket Hat White Kumo Motif,None,None,50.3815855157282,148
149,Japanese Motif - Yellow,False,Hoodie - One Shoulder Yin Yang,None,Circle Frame,Motorcycle Helmet - Black,Metal Pipe,White,Espresso,Night,None,None,None,15.767192779982727,149
150,Japanese Motif - Blue,False,Sweater - Cherry Blossoms,None,Square Frame,Painted Black Mask,None,Orange-Red,Porcelain,No Aura Plain,Bucket Hat Yellow,None,None,16.27023211883852,150
151,Night Sky,False,Hoodie - One Shoulder Yin Yang,Attached Diamonds,Minimal Frame,Sevens Japanese Mask,Banana,Black,Golden,Night,Beanie - Painted,None,None,36.615261670242376,151
152,Pixel - Day on an Island,False,Shirt - Isekai Postal,Emoticon,Square Frame,Motorcycle Helmet - Roughed,Metal Pipe,White,Espresso,None,None,None,None,30.55186941000188,152
153,Sakura Tree,True,Hoodie - One Shoulder Fire,None,Minimal Frame,Sevens Japanese Mask,None,Red,Golden,Night,Beanie - White,None,None,25.14858854149644,153
154,Pixel - Piano in a Sea,True,Sweater - Kintsugi,None,Circle Frame,Beak Mask - Metal,Red Scythe,Black,Golden,Light,Rice Hat - Shadow,None,None,42.50960406018927,154
155,Pixel - Piano in a Sea,False,Shirt - Pixel,Greek Letters,Square Frame,Elder Skull,Red Space Fork,White,Porcelain,Light,Bucket Hat Red Kumo Motif,None,None,44.96019023222026,155
156,Bananaz!,False,Hoodie - Sunflowers,None,Circle Frame,Lion - Fire Mustache,None,Red,Porcelain,Night,Bucket Hat Akuma,None,None,10.755780673521699,156
157,Light Blue,False,Sweater - One Shoulder Cherry Blossoms,Constellation,Minimal Frame,Motorcycle Helmet - Roughed,None,Yellow,Espresso,Night,None,None,None,17.042806624422926,157
158,Night Sky,False,Hoodie - Tongue,Attached Diamonds,Circle Frame,Kaiju Mecha Mask - 07,None,White,Beige,None,Rice Hat - Kintsugi,None,None,25.240958606779195,158
