,Hat Color,Glasses Frame Color,Overall Color,Shirt Color,Boot Color,Pupil Color,Hair Color,Hat,Facial Hair,Glasses,Held Item,Hair Style,Outfit,Gender,Class,Zipper Color,Helmet Glass Color,Glove Color,Suit Color,Pant Color,Shoe Color,Belt Buckle Color,Bandana Color,Belt Color,Tie Color,Life Buoy Color,Robe Color,Lifejacket Color,Miscellaneous,Jumpsuit Color,Foot Color,Vest Color,Apron Color,Special,Shirt Collar Color,Undershirt Color,String Color,Jacket Color,Spatula Color,Dress Color,Frame Color,Pants Color,Lab Coat Color,Fuel Rod Color,Gloves and Boots Color,Fish 1 Color,Skirt Color,Gloves and Foot Color,Horn Color,Hoof Color,Coat Color,Breed,Overalls Color,Shirt Accent Color,Badge Accent 1 Color,Suspender Color,Wool Color,Eye Patch Color,Feather Color,Comb and Wattle Color,Water Tank Color,Track Color,Body Color,Shirt and Pant Color,Sleeve Color,Wheel Color,Skin Color,Rarity score,Token Id
10,None,None,None,Cream Can,None,Cement,Cumin,None,Chevron Mustache,None,Flask,Crew Cut,Checkered Shirt,Male,Factory Worker,None,None,None,None,Regent Gray,Dark Brown,None,None,Light Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.625121509681325,10
11,None,None,None,None,None,Blue,Black,None,None,None,None,Crew Cut,Robe,Male,Miller,None,None,None,None,Shadow,Dark Gray,None,None,Medium Gray,None,None,Mandy's Pink,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.63713085694008,11
12,Armadillo,None,None,Pastel Green,Medium Gray,Millbrook,Westar,Sailor Hat,None,None,None,Pageboy,Life Jacket,Female,Boat Captain,None,None,None,None,Blue,None,None,None,None,None,None,None,Electric Violet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,34.57676938899568,12
13,Scarlet,None,Gray Olive,White,Black,Deep Sea Green,Chicago,Reverse Cap,None,None,Computer,Pageboy,Pig Farmer,Male,Farmer,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29.161872820475903,13
14,Electric Green,None,Elm,Black,None,Cement,Westar,Reverse Cap,None,None,Computer,Mop Top,Miner Worker Waders,Female,Miner,None,None,None,None,None,Medium Gray,None,None,Light Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36.4297016710615,14
15,Armadillo,Scarlet,None,Cream Can,None,Cement,White,Reverse Cap,None,90s,Fork,Ponytail,Checkered Lumberjack Shirt,Female,Lumberjack,None,None,None,None,Blue Vogue,Dark Brown,None,None,Light Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48.123967634896,15
16,None,Scarlet,Cocoa Brown,White,Medium Brown,Millbrook,Westar,None,Hungarian Mustache,Luxury,Pickaxe,Side-Swept,Pig Farmer,Male,Farmer,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.359849415600685,16
17,Screamin' Green,None,None,Lemon Ginger,Medium Gray,Cement,Nomad,Ivy Cap,None,None,Computer,Lob,Life Jacket Whistle,Female,Boat Captain,None,None,None,None,Blue,None,None,None,None,None,None,None,Yellow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,38.35153355568547,17
18,Screamin' Green,None,None,Cream Can,None,Cement,White,Ivy Cap,Handlebar Mustache,None,Drill,Side-Swept,Medallion ,Male,Trucker,None,None,None,None,Gray Olive,Black,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21.89772487769248,18
19,None,None,None,Bandicoot,None,Blue,Nomad,None,Pencil Mustache,None,None,Long Fringe,Fashion Designer,Male,Weaver,None,None,None,None,Mirage,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.496727413605512,19
20,Electric Violet,None,None,White,None,Cement,Millbrook,Reverse Cap,None,None,Chainsaw,Payot,Checkered Lumberjack Shirt,Female,Lumberjack,None,None,None,None,Gray Olive,Black,None,None,Medium Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24.569376340462398,20
21,None,None,None,Amethyst Smoke,None,Blue,Black,None,None,None,None,Pageboy,Disco Miller,Male,Miller,None,None,None,None,Black,Dark Gray,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.5491905629166745,21
22,Armadillo,None,None,White,None,Deep Sea Green,Cod Gray,Hard Hat,Goatee Beard,None,Drill,Curly,Lumberjack Date Night,Male,Lumberjack,None,None,None,None,Regent Gray,Black,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25.77276091651119,22
23,Orient,None,None,Amethyst Smoke,Medium Brown,Millbrook,Millbrook,Reverse Cap,Pencil Mustache,None,Lasso,Crew Cut,Casual Rancher Outfit,Male,Rancher,None,None,None,None,Elm,None,None,Heliotrope,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46.764215794391085,23
24,Screamin' Green,None,None,Mandy's Pink,None,Millbrook,Black,Flat Cap,Long Stache and Beard,None,Hoe,Side-Swept,Lumberjack Date Night,Male,Lumberjack,None,None,None,None,Twine,Medium Gray,None,None,Medium Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23.68243300295444,24
25,Scarlet,None,None,Black,Black,Millbrook,Black,Fedora,Brush Mustache,None,None,Side-Swept,Life Buoy,Male,Boat Captain,None,None,None,None,Merlin,None,None,None,None,None,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.844565855185902,25
26,None,None,None,Tussock,None,Cement,Nomad,None,None,None,None,Payot,Disco Miller,Male,Miller,None,None,None,None,Merlin,Dark Gray,None,None,Light Gray,None,None,None,None,Face Mask,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18.32357043155694,26
27,None,Orient,None,Gimblet,None,Cement,Westar,None,None,Open Frame,Spyglass,Bangs,Checkered Shirt,Female,Factory Worker,None,None,None,None,Japanese Laurel,Dark Brown,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,38.83028905750699,27
28,Armadillo,None,None,Tussock,None,Cement,Chicago,Ivy Cap,Goatee Beard,None,Fork,Long Fringe,Checkered Lumberjack Shirt,Male,Lumberjack,None,None,None,None,Butterfly Bush,Dark Gray,None,None,Medium Gray,None,None,None,None,Face Mask,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,37.8097727598296,28
29,None,None,None,Bandicoot,None,Cement,None,None,None,None,None,None,None,None,Helper Bot,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Merlin,Scarlet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,32.944439116263396,29
30,Electric Violet,Scarlet,None,Armadillo,None,Blue,Cumin,Ivy Cap,Comb Mustache,90s,Hammer,Mullet,Tank Top Belly,Male,Trucker,None,None,None,None,Black,Dark Gray,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46.81416480338602,30
31,Pelorous,None,Twine,Mandy's Pink,None,Millbrook,Westar,Ball Cap,None,None,None,Pageboy,Muddy Dungarees,Female,Farmer,None,None,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20.180195024678813,31
32,None,None,None,None,None,Millbrook,Chicago,None,None,None,None,Long Fringe,Miller Bartender,Male,Miller,None,None,None,None,Indian Khaki,Medium Gray,None,None,Medium Brown,None,None,None,None,None,None,None,Dull Lavender,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16.945934253748497,32
33,Screamin' Green,None,None,Lemon Ginger,None,Cement,Nomad,Stetson,None,None,None,Pageboy,Tank Top Belly,Female,Trucker,None,None,None,None,Paradiso,Dark Brown,None,None,Medium Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.325685061472853,33
34,None,None,None,Tussock,None,Millbrook,Cod Gray,None,Pencil Mustache,None,None,Mop Top,Apron,Male,Baker,None,None,None,None,None,Light Brown,None,None,None,None,None,None,None,None,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14.93899803356211,34
35,None,Orient,None,Portage,None,Cement,Black,None,Horseshoe Mustache,Oval Frame,None,Payot,Apron,Male,Baker,None,None,None,None,None,Dark Gray,None,None,None,None,None,None,None,Face Mask,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,47.448802781241035,35
36,None,None,Regent Gray,Portage,Black,Cement,Nomad,None,None,None,Shovel,Long Fringe,Pig Farmer,Male,Farmer,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18.414737061867136,36
37,Pelorous,None,None,Pastel Green,Black,Cement,Westar,Reverse Cap,Long Stache and Beard,None,None,Mullet,Checkered Rancher Outfit,Male,Rancher,None,None,None,None,Gray Olive,None,None,Pelorous,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,37.62781287091984,37
38,Pelorous,Scarlet,None,Torea Bay,Medium Gray,Blue,Black,Flat Cap,None,Oval Frame,Drill,Mop Top,None,None,Boat Captain,None,None,None,None,Shadow,None,None,None,None,None,None,None,Red,None,None,None,None,None,Zombie,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,80.71584028579832,38
39,Screamin' Green,Screamin' Green,None,None,None,Cement,Chicago,Stetson,Pencil Mustache,Oval Frame,None,Ponytail,Pot Washer,Male,Chef,None,None,None,None,Japanese Laurel,Light Brown,None,None,None,None,None,None,None,None,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.1485302588675,39
40,Red,Scarlet,None,Dull Lavender,None,Cement,Millbrook,Stetson,Bush Beard,Oval Frame,Drill,Curly,Miner Worker,Male,Miner,None,None,None,None,Merlin,Medium Gray,None,None,Light Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48.710489999721155,40
41,Screamin' Green,None,None,White,Medium Brown,Millbrook,Cod Gray,Ivy Cap,Brush Mustache,None,Computer,Ponytail,Life Jacket,Male,Boat Captain,None,None,None,None,Gray Olive,None,None,None,None,None,None,None,Yellow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,37.141192854849244,41
42,Pelorous,None,Merlin,Dull Lavender,None,Cement,Chicago,Ivy Cap,None,None,Computer,Afro,Checkered Shirt and Dungarees,Female,Farmer,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23.255583280428816,42
43,Yellow,None,None,Dull Lavender,None,Millbrook,Westar,Ivy Cap,Handlebar Mustache,None,Computer,Mullet,Checkered Shirt,Male,Factory Worker,None,None,None,None,Gray Olive,Dark Gray,None,None,Medium Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24.301417832478638,43
44,None,Screamin' Green,None,Mandy's Pink,None,Millbrook,Millbrook,None,Pencil Mustache,90s,None,Ponytail,Apron,Male,Baker,None,None,None,None,None,Light Gray,None,None,None,None,None,None,None,None,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,35.69994275958186,44
45,Scarlet,None,None,White,None,Deep Sea Green,Chicago,Flat Cap,Goatee Beard,None,Fork,Dreds,Lumberjack Date Night,Male,Lumberjack,None,None,None,None,Cocoa Brown,Black,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27.327056553908214,45
46,Electric Green,None,Yellow,Cream Can,Black,Cement,Cod Gray,Hard Hat,Long Stache and Beard,None,Hatchet,Crew Cut,Overalls and Backpack,Male,Builder,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,32.64082401365619,46
47,Yellow,None,Yellow,Cream Can,Dark Brown,Millbrook,Black,Hard Hat,None,None,Hammer,Crew Cut,Overalls and Backpack,Male,Builder,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25.613495151075842,47
48,Screamin' Green,None,None,White,None,Deep Sea Green,None,Ball Cap,None,None,Shovel,Bald,Checkered Lumberjack Shirt,Female,Lumberjack,None,None,None,None,Black,Dark Gray,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.88464322378292,48
49,Scarlet,None,None,None,None,Millbrook,Black,Stetson,Chevron Mustache,None,None,Side-Swept,Grand Chef Jacket,Male,Chef,None,None,None,None,Japanese Laurel,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21.73091024419504,49
50,Pelorous,None,None,Tussock,Dark Brown,Blue,Black,Sailor Hat,Pencil Mustache,None,None,Ponytail,Life Buoy,Male,Boat Captain,None,None,None,None,Emperor,None,None,None,None,None,Orange,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,34.803802963966305,50
51,None,None,Elm,Torea Bay,None,White,Cod Gray,None,Long Stache and Beard,None,Hatchet,Long Fringe,Checkered Shirt and Dungarees,Male,Farmer,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21.116271853984767,51
52,Yellow,None,None,Black,None,Cement,Chicago,Hard Hat,Comb Mustache,None,Computer,Tonsure,Checkered Shirt,Male,Factory Worker,None,None,None,None,Gray Olive,Medium Brown,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25.27622888173033,52
53,None,None,None,None,None,Millbrook,Cumin,None,None,None,None,Dreds,Miller Bartender,Male,Miller,None,None,None,None,Japanese Laurel,Medium Gray,None,None,Black,None,None,None,None,None,None,None,Saratoga,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.615012974363262,53
54,Scarlet,Screamin' Green,Twine,Tussock,Dark Gray,Blue,Black,Ivy Cap,Bush Beard,90s,Hoe,Curly,Rancher Checkered Dungarees,Male,Rancher,None,None,None,None,None,None,Black,Scarlet,None,None,None,None,None,Bent Pipe,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,96.49446493329238,54
55,Armadillo,Heliotrope,None,Lemon Ginger,None,Blue,Cod Gray,Hard Hat,None,Luxury,Flask,Long & Tied Up,Checkered Lumberjack Shirt,Female,Lumberjack,None,None,None,None,Emperor,Black,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50.01641304182305,55
56,Pelorous,None,None,Torea Bay,None,Deep Sea Green,Mine Shaft,Flat Cap,Long Stache and Beard,None,Hatchet,Pageboy,Checkered Lumberjack Shirt,Male,Lumberjack,None,None,None,None,Indian Khaki,Black,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27.531690798568025,56
57,Orient,None,None,Dull Lavender,None,Millbrook,Millbrook,Straw Hat,Goatee Beard,None,Flask,Quiff,Lumberjack Date Night,Male,Lumberjack,None,None,None,None,Shadow,Light Gray,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25.661325610187845,57
58,Pelorous,None,None,Portage,Black,Cement,Cod Gray,Fedora,Chevron Mustache,None,Shovel,Afro,Ranch Boss,Male,Rancher,None,None,None,None,Regent Gray,None,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,Screamin' Green,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.79297901564008,58
59,None,None,None,Bandicoot,None,Millbrook,Cod Gray,None,Horseshoe Mustache,None,Chainsaw,Cornrows,Worker Uniform,Male,Factory Worker,None,None,None,None,Paradiso,Light Brown,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16.963150046446035,59
60,Pelorous,None,None,Pastel Green,Light Brown,Blue,Westar,Ball Cap,Comb Mustache,None,None,Afro,Life Jacket Whistle,Male,Boat Captain,None,None,None,None,Mirage,None,None,None,None,None,None,None,Yellow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,33.687857096377286,60
61,None,Electric Violet,Black,Dull Lavender,None,Millbrook,White,None,Hungarian Mustache,Open Frame,None,Curly,Muddy Dungarees,Male,Farmer,None,None,None,None,None,Light Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,33.000872656852444,61
62,Screamin' Green,None,None,Bandicoot,Dark Gray,Millbrook,Pizza,Flat Cap,Horseshoe Mustache,None,None,Payot,Life Jacket Whistle,Male,Boat Captain,None,None,None,None,Japanese Laurel,None,None,None,None,None,None,None,Electric Green,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,32.67530931410025,62
63,None,None,None,Pastel Green,None,Blue,Black,None,Horseshoe Mustache,None,None,Bob,Fashion Designer,Male,Weaver,None,None,None,None,Japanese Laurel,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.069568628078164,63
64,Scarlet,None,None,Torea Bay,None,Blue,White,Ivy Cap,None,None,Shovel,Curly,Gingham Lumberjack Dress,Female,Lumberjack,None,None,None,None,None,Medium Gray,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,Japanese Laurel,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,38.64711913791064,64
65,None,Scarlet,Blue Vogue,Hawaiian Tan,Medium Brown,Blue,Millbrook,None,Comb Mustache,90s,Hoe,Bob,Pig Farmer,Male,Farmer,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19264056693475,65
